,nc,ar,y
2023-01-03,80.26000213623047,79.12571778187925,76.93000030517578
2023-01-04,76.93000030517578,78.27938716478074,72.83999633789062
2023-01-05,72.83999633789062,76.39489603996772,73.66999816894531
2023-01-06,73.66999816894531,75.48285189235654,73.7699966430664
2023-01-09,73.7699966430664,74.88852325213767,74.62999725341797
2023-01-10,74.62999725341797,74.19484171738381,75.12000274658203
2023-01-11,75.12000274658203,73.97374740894793,77.41000366210938
2023-01-12,77.41000366210938,75.07224601670661,78.38999938964844
2023-01-13,78.38999938964844,76.05282237860621,79.86000061035156
2023-01-17,79.86000061035156,77.27822490786546,80.18000030517578
2023-01-18,80.18000030517578,78.24314512449037,79.4800033569336
2023-01-19,79.4800033569336,78.85839384818374,80.33000183105469
2023-01-20,80.33000183105469,79.410181962231,81.30999755859375
2023-01-23,81.30999755859375,80.07381868915112,81.62000274658203
2023-01-24,81.62000274658203,80.45454102207219,80.12999725341797
2023-01-25,80.12999725341797,80.20669124411461,80.1500015258789
2023-01-26,80.1500015258789,80.24347187766931,81.01000213623047
2023-01-27,81.01000213623047,80.49477078662787,79.68000030517578
2023-01-30,79.68000030517578,80.09398088605548,77.9000015258789
2023-01-31,77.9000015258789,79.14764273417633,78.87000274658203
2023-02-01,78.87000274658203,79.01184456932037,76.41000366210938
2023-02-02,76.41000366210938,78.10532122088986,75.87999725341797
2023-02-03,75.87999725341797,77.11656354047071,73.38999938964844
2023-02-06,73.38999938964844,75.67289022737474,74.11000061035156
2023-02-07,74.11000061035156,75.12599445286484,77.13999938964844
2023-02-08,77.13999938964844,75.3538954395806,78.47000122070312
2023-02-09,78.47000122070312,76.04243843666569,78.05999755859375
2023-02-10,78.05999755859375,76.33523268528701,79.72000122070312
2023-02-13,79.72000122070312,77.5400733165321,80.13999938964844
2023-02-14,80.13999938964844,78.65963329217696,79.05999755859375
2023-02-15,79.05999755859375,78.83451716256305,78.58999633789062
2023-02-16,78.58999633789062,78.70146348037123,78.48999786376953
2023-02-17,78.48999786376953,78.74680155958433,76.33999633789062
2023-02-21,76.33999633789062,77.88663548740898,76.16000366210938
2023-02-22,76.16000366210938,77.13171531101725,73.94999694824219
2023-02-23,73.94999694824219,75.96301397420554,75.38999938964844
2023-02-24,75.38999938964844,75.622985483234,76.31999969482422
2023-02-27,76.31999969482422,75.48388265859423,75.68000030517578
2023-02-28,75.68000030517578,75.35107170842537,77.05000305175781
2023-03-01,77.05000305175781,75.62518322873045,77.69000244140625
2023-03-02,77.69000244140625,76.3816746986832,78.16000366210938
2023-03-03,78.16000366210938,76.93708964139526,79.68000030517578
2023-03-06,79.68000030517578,77.68893200291328,80.45999908447266
2023-03-07,80.45999908447266,78.63790015162165,77.58000183105469
2023-03-08,77.58000183105469,78.30676804206901,76.66000366210938
2023-03-09,76.66000366210938,77.84804511638126,75.72000122070312
2023-03-10,75.72000122070312,77.27809879869595,76.68000030517578
2023-03-13,76.68000030517578,76.97093290628997,74.80000305175781
2023-03-14,74.80000305175781,75.82225422140827,71.33000183105469
2023-03-15,71.33000183105469,74.18421994149881,67.61000061035156
2023-03-16,67.61000061035156,71.94298365769158,68.3499984741211
2023-03-17,68.3499984741211,70.77888320269516,66.73999786376953
2023-03-20,66.73999786376953,69.05665806167367,67.63999938964844
2023-03-21,67.63999938964844,68.05406821488664,69.33000183105469
2023-03-22,69.33000183105469,68.00580897884137,70.9000015258789
2023-03-23,70.9000015258789,68.86712703211421,69.95999908447266
2023-03-24,69.95999908447266,69.01194291083388,69.26000213623047
2023-03-27,69.26000213623047,69.2474049659928,72.80999755859375
2023-03-28,72.80999755859375,70.57390968652022,73.19999694824219
2023-03-29,73.19999694824219,71.4370738120135,72.97000122070312
2023-03-30,72.97000122070312,71.73790532552891,74.37000274658203
2023-03-31,74.37000274658203,72.57724591677166,75.66999816894531
2023-04-03,75.66999816894531,73.89802664253754,80.41999816894531
2023-04-04,80.41999816894531,75.85250660640848,80.70999908447266
2023-04-05,80.70999908447266,77.26247665388578,80.61000061035156
2023-04-06,80.61000061035156,78.47169583311417,80.69999694824219
2023-04-10,80.69999694824219,79.44297332939529,79.73999786376953
2023-04-11,79.73999786376953,80.00587768646118,81.52999877929688
2023-04-12,81.52999877929688,80.41940183478837,83.26000213623047
