,nc,ar,y
2023-01-03,3.802999973297119,3.7985286664510642,3.766000032424927
2023-01-04,3.8334999084472656,3.8299966309991333,3.739500045776367
2023-01-05,3.8320000171661377,3.8315646007547115,3.818000078201294
2023-01-06,3.821000099182129,3.821614186873648,3.908499956130981
2023-01-09,3.805500030517578,3.8050569700687356,4.018499851226807
2023-01-10,3.766000032424927,3.766068037078031,4.066999912261963
2023-01-11,3.739500045776367,3.7383713906511113,4.1545000076293945
2023-01-12,3.818000078201294,3.810859363185935,4.185999870300293
2023-01-13,3.908499956130981,3.902170286938923,4.207499980926514
2023-01-17,4.018499851226807,4.0140816876487,4.215000152587891
2023-01-18,4.066999912261963,4.067837612352117,4.228499889373779
2023-01-19,4.1545000076293945,4.1526954822816435,4.226500034332275
2023-01-20,4.185999870300293,4.187122497830673,4.248499870300293
2023-01-23,4.207499980926514,4.208016317562572,4.254000186920166
2023-01-24,4.215000152587891,4.215005804185471,4.245500087738037
2023-01-25,4.228499889373779,4.226733585192625,4.239999771118164
2023-01-26,4.226500034332275,4.225032860532864,4.267000198364258
2023-01-27,4.248499870300293,4.245481393303298,4.223999977111816
2023-01-30,4.254000186920166,4.25184676466331,4.203499794006348
2023-01-31,4.245500087738037,4.244144859400559,4.228499889373779
2023-02-01,4.239999771118164,4.238195047191882,4.111000061035156
2023-02-02,4.267000198364258,4.26297655315103,4.093999862670898
2023-02-03,4.223999977111816,4.223874517156185,4.063000202178955
2023-02-06,4.203499794006348,4.202060380691405,4.043499946594238
2023-02-07,4.228499889373779,4.223841194957066,4.088500022888184
2023-02-08,4.111000061035156,4.113769799621495,4.043499946594238
2023-02-09,4.093999862670898,4.091180808459201,4.105500221252441
2023-02-10,4.063000202178955,4.059648141425827,4.027500152587891
2023-02-13,4.043499946594238,4.039929326047819,4.086999893188477
2023-02-14,4.088500022888184,4.083065007419978,4.110000133514404
2023-02-15,4.043499946594238,4.04372995996877,4.052000045776367
2023-02-16,4.105500221252441,4.100766670797824,4.165500164031982
2023-02-17,4.027500152587891,4.030115804244108,4.113999843597412
2023-02-21,4.086999893188477,4.08168275669204,4.234499931335449
2023-02-22,4.110000133514404,4.106775131540625,4.202499866485596
2023-02-23,4.052000045776367,4.05363703632617,4.072999954223633
2023-02-24,4.165500164031982,4.158289624447052,3.954999923706055
2023-02-27,4.113999843597412,4.1151824752383,4.008999824523926
2023-02-28,4.234499931335449,4.227481013737693,4.097499847412109
2023-03-01,4.202499866485596,4.204222902616992,4.168000221252441
2023-03-02,4.072999954223633,4.078831775316961,4.084000110626221
2023-03-03,3.954999923706055,3.957492989958796,4.078000068664551
2023-03-06,4.008999824523926,3.998547561397319,4.100500106811523
2023-03-07,4.097499847412109,4.0870005321823655,3.986500024795532
2023-03-08,4.168000221252441,4.163714208721978,4.041500091552734
2023-03-09,4.084000110626221,4.090524103731869,4.054500102996826
2023-03-10,4.078000068664551,4.078015588314123,4.045499801635742
2023-03-13,4.100500106811523,4.096057649221379,4.069499969482422
2023-03-14,3.986500024795532,3.989071166678241,4.010499954223633
2023-03-15,4.041500091552734,4.035406079200146,3.8564999103546143
2023-03-16,4.054500102996826,4.050252639190213,3.885499954223633
2023-03-17,4.045499801635742,4.044024047569422,3.9135000705718994
