,nc,ar,y
2023-01-03,1795.9000244140625,1796.1702197838038,1839.699951171875
2023-01-04,1814.800048828125,1815.0065084540597,1852.800048828125
2023-01-05,1807.9000244140625,1808.8149135069305,1834.800048828125
2023-01-06,1819.5,1819.8961494481662,1864.199951171875
2023-01-09,1819.699951171875,1820.0311020439271,1872.699951171875
2023-01-10,1839.699951171875,1840.0642847134345,1871.5999755859373
2023-01-11,1852.800048828125,1852.986951751698,1874.5999755859373
2023-01-12,1834.800048828125,1835.5900644125916,1895.5
2023-01-13,1864.199951171875,1864.1905358747572,1918.4000244140625
2023-01-17,1872.699951171875,1872.8195238921855,1907.199951171875
2023-01-18,1871.5999755859373,1872.3222101087736,1904.4000244140625
2023-01-19,1874.5999755859373,1874.7765428073487,1922.0999755859373
2023-01-20,1895.5,1895.798207537037,1926.4000244140625
2023-01-23,1918.4000244140625,1918.7141585716045,1927.0999755859373
2023-01-24,1907.199951171875,1908.0129385024593,1933.9000244140625
2023-01-25,1904.4000244140625,1905.0038775867633,1941.199951171875
2023-01-26,1922.0999755859373,1922.2361964444679,1929.0999755859373
2023-01-27,1926.4000244140625,1927.015200319444,1928.5999755859373
2023-01-30,1927.0999755859373,1927.7917131959275,1922.9000244140625
2023-01-31,1933.9000244140625,1934.2663757476557,1929.5
2023-02-01,1941.199951171875,1941.6443529500066,1927.800048828125
2023-02-02,1929.0999755859373,1929.87282966569,1916.300048828125
2023-02-03,1928.5999755859373,1929.1985481596525,1862.9000244140625
2023-02-06,1922.9000244140625,1923.474026764593,1866.199951171875
2023-02-07,1929.5,1930.1302233665103,1871.699951171875
2023-02-08,1927.800048828125,1928.399386685025,1877.4000244140625
2023-02-09,1916.300048828125,1917.1535959503315,1866.199951171875
2023-02-10,1862.9000244140625,1864.2443678329194,1862.800048828125
2023-02-13,1866.199951171875,1866.9014107475375,1851.9000244140625
2023-02-14,1871.699951171875,1872.1949183864015,1854.0
2023-02-15,1877.4000244140625,1878.4869358374403,1834.199951171875
2023-02-16,1866.199951171875,1867.0329988821593,1842.0
2023-02-17,1862.800048828125,1863.5424099250254,1840.4000244140625
2023-02-21,1851.9000244140625,1852.569504860119,1833.0
2023-02-22,1854.0,1854.6863013080067,1832.0
2023-02-23,1834.199951171875,1835.076875744128,1818.0
2023-02-24,1842.0,1842.6679963219328,1808.800048828125
2023-02-27,1840.4000244140625,1840.94695884037,1817.0
2023-02-28,1833.0,1833.949259726063,1828.9000244140625
2023-03-01,1832.0,1832.6087517496455,1837.699951171875
2023-03-02,1818.0,1818.8357003735318,1833.5
2023-03-03,1808.800048828125,1809.6828417599797,1847.699951171875
2023-03-06,1817.0,1817.534585282625,1847.9000244140625
2023-03-07,1828.9000244140625,1829.4761052164777,1813.9000244140625
2023-03-08,1837.699951171875,1838.3387087470899,1812.699951171875
2023-03-09,1833.5,1834.1842682209997,1829.300048828125
2023-03-10,1847.699951171875,1848.1014575678469,1862.0
2023-03-13,1847.9000244140625,1848.4199893075602,1911.699951171875
2023-03-14,1813.9000244140625,1815.107462098789,1906.199951171875
2023-03-15,1812.699951171875,1813.3317761581104,1926.5999755859373
2023-03-16,1829.300048828125,1829.5971156203484,1919.0
2023-03-17,1862.0,1862.454722750056,1969.800048828125
2023-03-20,1911.699951171875,1911.6457558853895,1979.199951171875
2023-03-21,1906.199951171875,1906.75573042234,1938.0
