model,series,h,regime,n,mspe_ratio,rmae,sr,pt_p,dm_p
ar5_returns,copper_fut,5,ALL,2805,0.9993,0.9984,0.522,0.21,0.433
ar5_returns,copper_fut,5,calm,2539,0.9973,0.9977,0.523,0.125,0.255
ar5_returns,copper_fut,5,covid,135,0.9986,0.9933,0.541,0.783,0.468
ar5_returns,copper_fut,5,ukraine,131,1.0231,1.0098,0.481,0.423,0.889
ar5_returns,copper_fut,22,ALL,2805,0.9957,0.9949,0.554,0.133,0.386
ar5_returns,copper_fut,22,calm,2539,0.9874,0.9937,0.551,0.134,0.214
ar5_returns,copper_fut,22,covid,135,0.9867,0.9831,0.696,,0.393
ar5_returns,copper_fut,22,ukraine,131,1.0491,1.0128,0.458,,0.869
ar5_returns,platinum_fut,1,ALL,2803,0.9884,0.9973,0.503,0.381,0.107
ar5_returns,platinum_fut,1,calm,2537,0.9848,0.9958,0.507,0.251,0.065
ar5_returns,platinum_fut,1,covid,135,1.0436,1.0079,0.496,0.555,0.976
ar5_returns,platinum_fut,1,ukraine,131,1.0129,1.0115,0.427,0.917,0.827
ar5_returns,platinum_fut,5,ALL,2803,0.9946,1.0008,0.488,0.982,0.138
ar5_returns,platinum_fut,5,calm,2537,0.9923,0.9999,0.49,0.985,0.08
ar5_returns,platinum_fut,5,covid,135,1.0152,1.0102,0.474,0.694,0.926
ar5_returns,platinum_fut,5,ukraine,131,1.0092,1.0057,0.45,0.581,0.882
ar5_returns,platinum_fut,22,ALL,2803,0.9989,1.0068,0.504,0.989,0.459
ar5_returns,platinum_fut,22,calm,2537,0.9966,1.0066,0.511,0.867,0.386
ar5_returns,platinum_fut,22,covid,135,1.0116,1.0017,0.504,0.982,0.658
ar5_returns,platinum_fut,22,ukraine,131,1.0413,1.0208,0.374,,0.895
ar5_returns,corn_fut,1,ALL,2802,1.0014,1.0017,0.485,0.853,0.709
ar5_returns,corn_fut,1,calm,2536,1.0007,1.0017,0.484,0.842,0.618
ar5_returns,corn_fut,1,covid,135,0.9943,0.9994,0.481,0.558,0.182
ar5_returns,corn_fut,1,ukraine,131,1.0044,1.003,0.511,0.679,0.711
ar5_returns,corn_fut,5,ALL,2802,1.0031,0.9994,0.516,0.501,0.841
ar5_returns,corn_fut,5,calm,2536,1.0031,0.999,0.521,0.414,0.845
ar5_returns,corn_fut,5,covid,135,1.0059,1.0043,0.437,0.537,0.744
ar5_returns,corn_fut,5,ukraine,131,1.003,1.0007,0.511,0.838,0.62
ar5_returns,corn_fut,22,ALL,2802,1.0107,1.0015,0.534,,0.794
ar5_returns,corn_fut,22,calm,2536,1.0092,1.0013,0.54,,0.764
ar5_returns,corn_fut,22,covid,135,1.0475,1.0205,0.385,,0.857
ar5_returns,corn_fut,22,ukraine,131,1.0125,0.9978,0.573,,0.612
ar5_returns,wheat_fut,1,ALL,2804,1.004,1.002,0.476,0.872,0.894
ar5_returns,wheat_fut,1,calm,2538,1.003,1.0019,0.474,0.9,0.982
ar5_returns,wheat_fut,1,covid,135,0.9992,0.9973,0.526,0.18,0.429
ar5_returns,wheat_fut,1,ukraine,131,1.0053,1.0037,0.45,0.707,0.775
ar5_returns,wheat_fut,5,ALL,2804,1.0036,1.0014,0.49,0.343,0.868
ar5_returns,wheat_fut,5,calm,2538,1.0005,1.0011,0.495,0.2,0.581
ar5_returns,wheat_fut,5,covid,135,1.0051,1.0051,0.415,0.953,0.762
ar5_returns,wheat_fut,5,ukraine,131,1.0062,1.0018,0.473,0.666,0.863
ar5_returns,wheat_fut,22,ALL,2804,1.0103,1.0069,0.482,0.357,0.799
