model,series,h,hit_rate,expected,n,kupiec_p,christoffersen_ind_p,conditional_coverage_p
chronos_2_lora,gold_fut,22,0.1604,0.05,106,0.0,0.0,0.0
chronos_2_full,gold_fut,22,0.1226,0.05,106,0.0035,0.0,0.0
moirai2_small,gold_fut,22,0.0472,0.05,106,0.8927,0.0106,0.038
garch_t,silver_fut,1,0.066,0.05,106,0.4693,0.4582,0.5845
qr_ar,silver_fut,1,0.1887,0.05,106,0.0,0.8076,0.0
chronos_2,silver_fut,1,0.0189,0.05,106,0.0938,0.7805,0.2362
chronos_2_lora,silver_fut,1,0.0189,0.05,106,0.0938,0.7805,0.2362
chronos_2_full,silver_fut,1,0.0189,0.05,106,0.0938,0.7805,0.2362
moirai2_small,silver_fut,1,0.0377,0.05,106,0.5455,0.5735,0.7109
garch_t,silver_fut,5,0.1132,0.05,106,0.0098,0.0,0.0
qr_ar,silver_fut,5,0.2264,0.05,106,0.0,0.0,0.0
chronos_2,silver_fut,5,0.066,0.05,106,0.4693,0.0036,0.0113
chronos_2_lora,silver_fut,5,0.066,0.05,106,0.4693,0.0036,0.0113
chronos_2_full,silver_fut,5,0.0566,0.05,106,0.7598,0.001,0.0043
moirai2_small,silver_fut,5,0.0566,0.05,106,0.7598,0.3197,0.5817
garch_t,silver_fut,22,0.1226,0.05,106,0.0035,0.0001,0.0
qr_ar,silver_fut,22,0.4245,0.05,106,0.0,0.0,0.0
chronos_2,silver_fut,22,0.0189,0.05,106,0.0938,0.0035,0.0035
chronos_2_lora,silver_fut,22,0.0189,0.05,106,0.0938,0.0035,0.0035
chronos_2_full,silver_fut,22,0.0566,0.05,106,0.7598,0.0276,0.0844
moirai2_small,silver_fut,22,0.0094,0.05,106,0.0196,0.8897,0.0651
garch_t,copper_fut,1,0.066,0.05,106,0.4693,0.0591,0.1295
qr_ar,copper_fut,1,0.0566,0.05,106,0.7598,0.0276,0.0844
chronos_2,copper_fut,1,0.0283,0.05,106,0.2659,0.6744,0.4931
chronos_2_lora,copper_fut,1,0.0377,0.05,106,0.5455,0.5735,0.7109
chronos_2_full,copper_fut,1,0.0377,0.05,106,0.5455,0.5735,0.7109
moirai2_small,copper_fut,1,0.0377,0.05,106,0.5455,0.5735,0.7109
garch_t,copper_fut,5,0.066,0.05,106,0.4693,0.0,0.0
qr_ar,copper_fut,5,0.1132,0.05,106,0.0098,0.0,0.0
chronos_2,copper_fut,5,0.0094,0.05,106,0.0196,0.8897,0.0651
chronos_2_lora,copper_fut,5,0.0283,0.05,106,0.2659,0.0532,0.0831
chronos_2_full,copper_fut,5,0.0283,0.05,106,0.2659,0.0532,0.0831
moirai2_small,copper_fut,5,0.0283,0.05,106,0.2659,0.0532,0.0831
garch_t,copper_fut,22,0.0,0.05,106,0.001,1.0,0.0044
qr_ar,copper_fut,22,0.0,0.05,106,0.001,1.0,0.0044
chronos_2,copper_fut,22,0.0,0.05,106,0.001,1.0,0.0044
chronos_2_lora,copper_fut,22,0.0,0.05,106,0.001,1.0,0.0044
chronos_2_full,copper_fut,22,0.0,0.05,106,0.001,1.0,0.0044
moirai2_small,copper_fut,22,0.0,0.05,106,0.001,1.0,0.0044
garch_t,platinum_fut,1,0.0566,0.05,106,0.7598,0.3936,0.6632
qr_ar,platinum_fut,1,0.1509,0.05,106,0.0001,0.2648,0.0003
chronos_2,platinum_fut,1,0.0283,0.05,106,0.2659,0.6744,0.4931
chronos_2_lora,platinum_fut,1,0.0283,0.05,106,0.2659,0.6744,0.4931
chronos_2_full,platinum_fut,1,0.0283,0.05,106,0.2659,0.6744,0.4931
moirai2_small,platinum_fut,1,0.0755,0.05,106,0.2615,0.2504,0.275
garch_t,platinum_fut,5,0.066,0.05,106,0.4693,0.0001,0.0004
qr_ar,platinum_fut,5,0.1792,0.05,106,0.0,0.0001,0.0
chronos_2,platinum_fut,5,0.0472,0.05,106,0.8927,0.0106,0.038
chronos_2_lora,platinum_fut,5,0.0566,0.05,106,0.7598,0.0276,0.0844
chronos_2_full,platinum_fut,5,0.0472,0.05,106,0.8927,0.0106,0.038
moirai2_small,platinum_fut,5,0.0472,0.05,106,0.8927,0.0002,0.001
garch_t,platinum_fut,22,0.0283,0.05,106,0.2659,0.6744,0.4931
qr_ar,platinum_fut,22,0.3113,0.05,106,0.0,0.0,0.0
chronos_2,platinum_fut,22,0.0283,0.05,106,0.2659,0.6744,0.4931
chronos_2_lora,platinum_fut,22,0.0283,0.05,106,0.2659,0.6744,0.4931
chronos_2_full,platinum_fut,22,0.066,0.05,106,0.4693,0.0036,0.0113
moirai2_small,platinum_fut,22,0.0094,0.05,106,0.0196,0.8897,0.0651
garch_t,corn_fut,1,0.0472,0.05,106,0.8927,0.4794,0.7717
qr_ar,corn_fut,1,0.0472,0.05,106,0.8927,0.4794,0.7717
chronos_2,corn_fut,1,0.0755,0.05,106,0.2615,0.2504,0.275
chronos_2_lora,corn_fut,1,0.0943,0.05,106,0.0606,0.2861,0.0974
chronos_2_full,corn_fut,1,0.0849,0.05,106,0.132,0.1936,0.1381
moirai2_small,corn_fut,1,0.0283,0.05,106,0.2659,0.6744,0.4931
garch_t,corn_fut,5,0.0566,0.05,106,0.7598,0.0,0.0001
qr_ar,corn_fut,5,0.0283,0.05,106,0.2659,0.0005,0.0012
chronos_2,corn_fut,5,0.0566,0.05,106,0.7598,0.0,0.0
chronos_2_lora,corn_fut,5,0.066,0.05,106,0.4693,0.0,0.0002
chronos_2_full,corn_fut,5,0.0849,0.05,106,0.132,0.0,0.0
moirai2_small,corn_fut,5,0.066,0.05,106,0.4693,0.0,0.0002
garch_t,corn_fut,22,0.1038,0.05,106,0.0254,0.0,0.0
qr_ar,corn_fut,22,0.0094,0.05,106,0.0196,0.8897,0.0651
chronos_2,corn_fut,22,0.1792,0.05,106,0.0,0.0,0.0
chronos_2_lora,corn_fut,22,0.1792,0.05,106,0.0,0.0,0.0
chronos_2_full,corn_fut,22,0.1792,0.05,106,0.0,0.0,0.0
