model,series,h,n,mspe_ratio,rmae,dm_p
ar5_returns,natgas_fut,22,106,0.9758,1.0118,0.207
lear_lite,natgas_fut,22,106,1.0436,1.0232,0.83
garch_t,natgas_fut,22,106,1.0869,1.0534,0.832
qr_ar,natgas_fut,22,106,1.1624,1.0699,0.842
chronos_bolt_small,natgas_fut,22,106,1.2765,1.0828,0.794
chronos_bolt_base,natgas_fut,22,106,1.3671,1.2946,0.975
chronos_2,natgas_fut,22,106,1.0066,1.0551,0.568
chronos_2_lora,natgas_fut,22,106,1.0314,1.0621,0.999
chronos_2_full,natgas_fut,22,106,1.0248,1.0774,0.602
timesfm_25,natgas_fut,22,106,0.5155,0.953,0.216
moirai2_small,natgas_fut,22,106,0.8137,1.0651,0.241
ar5_returns,gold_fut,1,106,1.0051,1.0022,0.744
lear_lite,gold_fut,1,106,1.0138,1.006,0.956
garch_t,gold_fut,1,106,1.0206,1.0091,0.967
qr_ar,gold_fut,1,106,1.0279,1.0182,0.933
chronos_bolt_small,gold_fut,1,106,1.3005,1.1797,0.998
chronos_bolt_base,gold_fut,1,106,1.1939,1.1186,0.991
chronos_2,gold_fut,1,106,1.1107,1.04,0.935
chronos_2_lora,gold_fut,1,106,1.0983,1.0368,0.937
chronos_2_full,gold_fut,1,106,1.4053,1.1824,0.986
timesfm_25,gold_fut,1,106,1.0413,1.0231,0.889
moirai2_small,gold_fut,1,106,1.22,1.1159,0.999
ar5_returns,gold_fut,5,106,1.0454,1.0216,0.95
lear_lite,gold_fut,5,106,1.055,1.013,0.882
garch_t,gold_fut,5,106,1.0997,1.0467,0.957
qr_ar,gold_fut,5,106,1.0978,1.0423,0.932
chronos_bolt_small,gold_fut,5,106,1.3336,1.1459,0.971
chronos_bolt_base,gold_fut,5,106,1.2659,1.1058,0.951
chronos_2,gold_fut,5,106,1.1516,1.0622,0.923
chronos_2_lora,gold_fut,5,106,1.1945,1.0732,0.947
chronos_2_full,gold_fut,5,106,1.2962,1.1371,0.919
timesfm_25,gold_fut,5,106,0.9909,0.9938,0.381
moirai2_small,gold_fut,5,106,1.1931,1.0919,0.975
ar5_returns,gold_fut,22,106,1.1995,1.1045,
lear_lite,gold_fut,22,106,1.3362,1.1734,
garch_t,gold_fut,22,106,1.4962,1.2542,
qr_ar,gold_fut,22,106,1.2331,1.1288,1.0
chronos_bolt_small,gold_fut,22,106,1.8803,1.3904,0.999
chronos_bolt_base,gold_fut,22,106,1.7398,1.2694,0.961
chronos_2,gold_fut,22,106,1.6609,1.2875,0.999
chronos_2_lora,gold_fut,22,106,1.6941,1.3022,1.0
chronos_2_full,gold_fut,22,106,1.9322,1.3468,0.971
timesfm_25,gold_fut,22,106,0.8923,0.9095,
moirai2_small,gold_fut,22,106,1.0324,1.0204,0.606
ar5_returns,silver_fut,1,106,1.003,0.9999,0.646
lear_lite,silver_fut,1,106,1.0363,1.0421,0.772
garch_t,silver_fut,1,106,1.0081,1.0037,0.945
qr_ar,silver_fut,1,106,1.0133,1.012,0.811
chronos_bolt_small,silver_fut,1,106,1.3364,1.1765,1.0
chronos_bolt_base,silver_fut,1,106,1.2085,1.1658,0.977
chronos_2,silver_fut,1,106,1.0399,1.0451,0.745
chronos_2_lora,silver_fut,1,106,1.041,1.0373,0.793
chronos_2_full,silver_fut,1,106,1.217,1.1887,0.945
timesfm_25,silver_fut,1,106,1.0517,1.0402,0.925
moirai2_small,silver_fut,1,106,1.1804,1.1119,0.986
ar5_returns,silver_fut,5,106,1.0083,1.0067,0.739
lear_lite,silver_fut,5,106,1.0643,1.0114,0.889
garch_t,silver_fut,5,106,1.0329,1.0167,0.926
qr_ar,silver_fut,5,106,1.045,1.0238,0.917
chronos_bolt_small,silver_fut,5,106,1.2213,1.1028,0.968
chronos_bolt_base,silver_fut,5,106,0.9167,0.9631,0.214
chronos_2,silver_fut,5,106,1.0704,1.0262,0.813
chronos_2_lora,silver_fut,5,106,1.0883,1.0369,0.867
chronos_2_full,silver_fut,5,106,0.9371,0.9932,0.239
timesfm_25,silver_fut,5,106,1.063,1.0236,0.965
moirai2_small,silver_fut,5,106,1.0385,1.0249,0.821
ar5_returns,silver_fut,22,106,1.0787,1.0339,0.967
lear_lite,silver_fut,22,106,1.2228,1.0982,0.989
garch_t,silver_fut,22,106,1.1672,1.0732,0.984
qr_ar,silver_fut,22,106,1.1021,1.0721,0.864
chronos_bolt_small,silver_fut,22,106,1.3426,1.2022,0.878
chronos_bolt_base,silver_fut,22,106,0.6985,0.8068,0.214
chronos_2,silver_fut,22,106,1.4317,1.1711,0.794
chronos_2_lora,silver_fut,22,106,1.4696,1.1869,0.819
chronos_2_full,silver_fut,22,106,1.0414,1.0227,0.72
timesfm_25,silver_fut,22,106,0.8796,0.9586,0.086
moirai2_small,silver_fut,22,106,0.7058,0.8629,0.079
ar5_returns,copper_fut,1,106,1.0059,0.9908,0.67
lear_lite,copper_fut,1,106,1.0046,0.999,0.607
garch_t,copper_fut,1,106,0.9996,1.0021,0.484
qr_ar,copper_fut,1,106,1.0186,0.9952,0.815
chronos_bolt_small,copper_fut,1,106,1.1719,1.0859,0.994
chronos_bolt_base,copper_fut,1,106,1.2593,1.1307,0.993
chronos_2,copper_fut,1,106,1.1413,1.0706,0.989
chronos_2_lora,copper_fut,1,106,1.1848,1.0821,0.985
chronos_2_full,copper_fut,1,106,1.0854,1.04,0.927
timesfm_25,copper_fut,1,106,1.0145,1.0093,0.657
moirai2_small,copper_fut,1,106,1.0581,1.0256,0.841
ar5_returns,copper_fut,5,106,0.9954,0.9892,0.369
lear_lite,copper_fut,5,106,0.9953,0.985,0.443
garch_t,copper_fut,5,106,0.9968,0.979,0.475
qr_ar,copper_fut,5,106,0.9561,0.958,0.151
chronos_bolt_small,copper_fut,5,106,1.0891,0.9886,0.795
chronos_bolt_base,copper_fut,5,106,1.1816,1.0052,0.883
chronos_2,copper_fut,5,106,1.0451,0.9931,0.81
chronos_2_lora,copper_fut,5,106,1.0231,0.9706,0.649
chronos_2_full,copper_fut,5,106,1.0144,0.977,0.587
timesfm_25,copper_fut,5,106,0.9915,0.9818,0.425
