series,h,model,regime,hit_rate,expected,n,kupiec_p,christoffersen_ind_p,conditional_coverage_p
brent_fut,1,chronos_2_lora,ALL,0.0556,0.05,2806,0.1812,0.6413,0.3671
brent_fut,1,chronos_2_lora,covid,0.0667,0.05,135,0.3968,0.6136,0.6148
brent_fut,1,chronos_2_lora,ukraine,0.0611,0.05,131,0.5737,0.3055,0.505
brent_fut,1,chronos_2_full,ALL,0.1044,0.05,2806,0.0,0.0,0.0
brent_fut,1,chronos_2_full,covid,0.2296,0.05,135,0.0,0.3831,0.0
brent_fut,1,chronos_2_full,ukraine,0.0687,0.05,131,0.3514,0.247,0.3315
brent_fut,1,moirai2_small,ALL,0.0542,0.05,2806,0.317,0.9302,0.6039
brent_fut,1,moirai2_small,covid,0.0296,0.05,135,0.2414,0.087,0.1164
brent_fut,1,moirai2_small,ukraine,0.1298,0.05,131,0.0004,0.303,0.0012
brent_fut,5,garch_t,ALL,0.0763,0.05,2806,0.0,0.0,0.0
brent_fut,5,garch_t,covid,0.1704,0.05,135,0.0,0.0,0.0
brent_fut,5,garch_t,ukraine,0.084,0.05,131,0.1025,0.0,0.0
brent_fut,5,qr_ar,ALL,0.0595,0.05,2806,0.0246,0.0,0.0
brent_fut,5,qr_ar,covid,0.2444,0.05,135,0.0,0.0,0.0
brent_fut,5,qr_ar,ukraine,0.1069,0.05,131,0.009,0.0,0.0
brent_fut,5,chronos_2,ALL,0.0691,0.05,2806,0.0,0.0,0.0
brent_fut,5,chronos_2,covid,0.1259,0.05,135,0.0006,0.0,0.0
brent_fut,5,chronos_2,ukraine,0.1069,0.05,131,0.009,0.0,0.0
brent_fut,5,chronos_2_lora,ALL,0.0734,0.05,2806,0.0,0.0,0.0
brent_fut,5,chronos_2_lora,covid,0.1259,0.05,135,0.0006,0.0,0.0
brent_fut,5,chronos_2_lora,ukraine,0.1069,0.05,131,0.009,0.0,0.0
brent_fut,5,chronos_2_full,ALL,0.1137,0.05,2806,0.0,0.0,0.0
brent_fut,5,chronos_2_full,covid,0.2593,0.05,135,0.0,0.0,0.0
brent_fut,5,chronos_2_full,ukraine,0.0916,0.05,131,0.0491,0.0,0.0
brent_fut,5,moirai2_small,ALL,0.0602,0.05,2806,0.0159,0.0,0.0
brent_fut,5,moirai2_small,covid,0.1037,0.05,135,0.0118,0.0,0.0
brent_fut,5,moirai2_small,ukraine,0.0992,0.05,131,0.0218,0.0,0.0
brent_fut,22,garch_t,ALL,0.0823,0.05,2806,0.0,0.0,0.0
brent_fut,22,garch_t,covid,0.2074,0.05,135,0.0,0.0,0.0
brent_fut,22,garch_t,ukraine,0.0916,0.05,131,0.0491,0.0,0.0
brent_fut,22,qr_ar,ALL,0.0531,0.05,2806,0.4554,0.0,0.0
brent_fut,22,qr_ar,covid,0.2222,0.05,135,0.0,0.0,0.0
brent_fut,22,qr_ar,ukraine,0.084,0.05,131,0.1025,0.0,0.0
brent_fut,22,chronos_2,ALL,0.0567,0.05,2806,0.1124,0.0,0.0
brent_fut,22,chronos_2,covid,0.1852,0.05,135,0.0,0.0,0.0
brent_fut,22,chronos_2,ukraine,0.0611,0.05,131,0.5737,0.0,0.0
brent_fut,22,chronos_2_lora,ALL,0.0584,0.05,2806,0.0453,0.0,0.0
brent_fut,22,chronos_2_lora,covid,0.1852,0.05,135,0.0,0.0,0.0
brent_fut,22,chronos_2_lora,ukraine,0.0687,0.05,131,0.3514,0.0,0.0
brent_fut,22,chronos_2_full,ALL,0.0955,0.05,2806,0.0,0.0,0.0
brent_fut,22,chronos_2_full,covid,0.2,0.05,135,0.0,0.0,0.0
brent_fut,22,chronos_2_full,ukraine,0.0687,0.05,131,0.3514,0.0,0.0
brent_fut,22,moirai2_small,ALL,0.0656,0.05,2806,0.0003,0.0,0.0
brent_fut,22,moirai2_small,covid,0.1481,0.05,135,0.0,0.0,0.0
brent_fut,22,moirai2_small,ukraine,0.0687,0.05,131,0.3514,0.0007,0.0022
natgas_fut,1,garch_t,ALL,0.0485,0.05,2806,0.7082,0.0968,0.2349
natgas_fut,1,garch_t,covid,0.0519,0.05,135,0.9218,0.3504,0.6435
natgas_fut,1,garch_t,ukraine,0.0611,0.05,131,0.5737,0.491,0.6733
natgas_fut,1,qr_ar,ALL,0.0684,0.05,2806,0.0,0.0,0.0
natgas_fut,1,qr_ar,covid,0.0667,0.05,135,0.3968,0.1136,0.1997
natgas_fut,1,qr_ar,ukraine,0.1145,0.05,131,0.0035,0.8203,0.0136
natgas_fut,1,chronos_2,ALL,0.0495,0.05,2806,0.9102,0.061,0.1718
natgas_fut,1,chronos_2,covid,0.0148,0.05,135,0.0283,0.8055,0.0876
natgas_fut,1,chronos_2,ukraine,0.0229,0.05,131,0.1128,0.7066,0.2649
natgas_fut,1,chronos_2_lora,ALL,0.0567,0.05,2806,0.1124,0.0108,0.011
natgas_fut,1,chronos_2_lora,covid,0.0148,0.05,135,0.0283,0.8055,0.0876
natgas_fut,1,chronos_2_lora,ukraine,0.0229,0.05,131,0.1128,0.7066,0.2649
natgas_fut,1,chronos_2_full,ALL,0.1126,0.05,2806,0.0,0.0,0.0
natgas_fut,1,chronos_2_full,covid,0.1481,0.05,135,0.0,0.0023,0.0
natgas_fut,1,chronos_2_full,ukraine,0.0305,0.05,131,0.272,0.6143,0.4818
natgas_fut,1,moirai2_small,ALL,0.0531,0.05,2806,0.4554,0.0068,0.0194
natgas_fut,1,moirai2_small,covid,0.0444,0.05,135,0.7629,0.0164,0.0536
natgas_fut,1,moirai2_small,ukraine,0.0382,0.05,131,0.5175,0.527,0.664
natgas_fut,5,garch_t,ALL,0.047,0.05,2806,0.4679,0.0,0.0
natgas_fut,5,garch_t,covid,0.0593,0.05,135,0.6311,0.0048,0.0167
natgas_fut,5,garch_t,ukraine,0.0611,0.05,131,0.5737,0.0053,0.0174
natgas_fut,5,qr_ar,ALL,0.0745,0.05,2806,0.0,0.0,0.0
natgas_fut,5,qr_ar,covid,0.0741,0.05,135,0.2295,0.0,0.0
natgas_fut,5,qr_ar,ukraine,0.0992,0.05,131,0.0218,0.0,0.0
natgas_fut,5,chronos_2,ALL,0.0613,0.05,2806,0.0079,0.0,0.0
natgas_fut,5,chronos_2,covid,0.037,0.05,135,0.4697,0.0063,0.0184
natgas_fut,5,chronos_2,ukraine,0.0458,0.05,131,0.8231,0.0,0.0
natgas_fut,5,chronos_2_lora,ALL,0.0663,0.05,2806,0.0002,0.0,0.0
natgas_fut,5,chronos_2_lora,covid,0.037,0.05,135,0.4697,0.0063,0.0184
natgas_fut,5,chronos_2_lora,ukraine,0.0458,0.05,131,0.8231,0.0,0.0
natgas_fut,5,chronos_2_full,ALL,0.1066,0.05,2806,0.0,0.0,0.0
natgas_fut,5,chronos_2_full,covid,0.1185,0.05,135,0.0017,0.0,0.0
natgas_fut,5,chronos_2_full,ukraine,0.0458,0.05,131,0.8231,0.0,0.0
natgas_fut,5,moirai2_small,ALL,0.0602,0.05,2806,0.0159,0.0,0.0
natgas_fut,5,moirai2_small,covid,0.0593,0.05,135,0.6311,0.0048,0.0167
natgas_fut,5,moirai2_small,ukraine,0.0458,0.05,131,0.8231,0.0005,0.0024
natgas_fut,22,garch_t,ALL,0.0349,0.05,2806,0.0001,0.0,0.0
natgas_fut,22,garch_t,covid,0.0,0.05,135,0.0002,1.0,0.001
natgas_fut,22,garch_t,ukraine,0.0458,0.05,131,0.8231,0.0005,0.0024
natgas_fut,22,qr_ar,ALL,0.0802,0.05,2806,0.0,0.0,0.0
natgas_fut,22,qr_ar,covid,0.0,0.05,135,0.0002,1.0,0.001
natgas_fut,22,qr_ar,ukraine,0.1298,0.05,131,0.0004,0.0,0.0
natgas_fut,22,chronos_2,ALL,0.052,0.05,2806,0.6237,0.0,0.0
natgas_fut,22,chronos_2,covid,0.0,0.05,135,0.0002,1.0,0.001
natgas_fut,22,chronos_2,ukraine,0.0458,0.05,131,0.8231,0.0005,0.0024
natgas_fut,22,chronos_2_lora,ALL,0.0524,0.05,2806,0.5646,0.0,0.0
natgas_fut,22,chronos_2_lora,covid,0.0,0.05,135,0.0002,1.0,0.001
natgas_fut,22,chronos_2_lora,ukraine,0.0534,0.05,131,0.8583,0.0,0.0
natgas_fut,22,chronos_2_full,ALL,0.0966,0.05,2806,0.0,0.0,0.0
natgas_fut,22,chronos_2_full,covid,0.0444,0.05,135,0.7629,0.0,0.0
natgas_fut,22,chronos_2_full,ukraine,0.0458,0.05,131,0.8231,0.0005,0.0024
natgas_fut,22,moirai2_small,ALL,0.0681,0.05,2806,0.0,0.0,0.0
natgas_fut,22,moirai2_small,covid,0.0,0.05,135,0.0002,1.0,0.001
natgas_fut,22,moirai2_small,ukraine,0.0305,0.05,131,0.272,0.0,0.0
gold_fut,1,garch_t,ALL,0.0588,0.05,2804,0.0364,0.333,0.07
gold_fut,1,garch_t,covid,0.0889,0.05,135,0.0604,0.3702,0.1148
gold_fut,1,garch_t,ukraine,0.0763,0.05,131,0.1977,0.7838,0.4202
gold_fut,1,qr_ar,ALL,0.0489,0.05,2804,0.7808,0.6062,0.8423
gold_fut,1,qr_ar,covid,0.1111,0.05,135,0.0047,0.7852,0.0177
gold_fut,1,qr_ar,ukraine,0.0916,0.05,131,0.0491,0.909,0.1433
gold_fut,1,chronos_2,ALL,0.041,0.05,2804,0.0244,0.379,0.0539
gold_fut,1,chronos_2,covid,0.0444,0.05,135,0.7629,0.2426,0.4828
gold_fut,1,chronos_2,ukraine,0.0611,0.05,131,0.5737,0.491,0.6733
gold_fut,1,chronos_2_lora,ALL,0.0467,0.05,2804,0.4204,0.624,0.641
gold_fut,1,chronos_2_lora,covid,0.0444,0.05,135,0.7629,0.2426,0.4828
gold_fut,1,chronos_2_lora,ukraine,0.0611,0.05,131,0.5737,0.491,0.6733
gold_fut,1,chronos_2_full,ALL,0.056,0.05,2804,0.1529,0.7737,0.3454
gold_fut,1,chronos_2_full,covid,0.0444,0.05,135,0.7629,0.2426,0.4828
gold_fut,1,chronos_2_full,ukraine,0.0763,0.05,131,0.1977,0.19,0.1848
gold_fut,1,moirai2_small,ALL,0.0531,0.05,2804,0.4502,0.4515,0.5663
gold_fut,1,moirai2_small,covid,0.0667,0.05,135,0.3968,0.6136,0.6148
gold_fut,1,moirai2_small,ukraine,0.0458,0.05,131,0.8231,0.446,0.7295
gold_fut,5,garch_t,ALL,0.0581,0.05,2804,0.0538,0.0,0.0
gold_fut,5,garch_t,covid,0.1037,0.05,135,0.0118,0.0,0.0
gold_fut,5,garch_t,ukraine,0.084,0.05,131,0.1025,0.0004,0.0005
gold_fut,5,qr_ar,ALL,0.0471,0.05,2804,0.4732,0.0,0.0
gold_fut,5,qr_ar,covid,0.1333,0.05,135,0.0002,0.0,0.0
gold_fut,5,qr_ar,ukraine,0.1145,0.05,131,0.0035,0.0,0.0
gold_fut,5,chronos_2,ALL,0.0531,0.05,2804,0.4502,0.0,0.0
gold_fut,5,chronos_2,covid,0.0889,0.05,135,0.0604,0.0,0.0
gold_fut,5,chronos_2,ukraine,0.0458,0.05,131,0.8231,0.0005,0.0024
gold_fut,5,chronos_2_lora,ALL,0.0581,0.05,2804,0.0538,0.0,0.0
gold_fut,5,chronos_2_lora,covid,0.0963,0.05,135,0.0276,0.0,0.0
gold_fut,5,chronos_2_lora,ukraine,0.0534,0.05,131,0.8583,0.0019,0.0078
gold_fut,5,chronos_2_full,ALL,0.0621,0.05,2804,0.0047,0.0,0.0
gold_fut,5,chronos_2_full,covid,0.0593,0.05,135,0.6311,0.0,0.0
gold_fut,5,chronos_2_full,ukraine,0.0687,0.05,131,0.3514,0.0007,0.0022
gold_fut,5,moirai2_small,ALL,0.0403,0.05,2804,0.0149,0.0,0.0
gold_fut,5,moirai2_small,covid,0.0889,0.05,135,0.0604,0.0,0.0
gold_fut,5,moirai2_small,ukraine,0.0534,0.05,131,0.8583,0.0376,0.1134
gold_fut,22,garch_t,ALL,0.041,0.05,2804,0.0244,0.0,0.0
gold_fut,22,garch_t,covid,0.0296,0.05,135,0.2414,0.0018,0.0038
gold_fut,22,garch_t,ukraine,0.1527,0.05,131,0.0,0.0,0.0
gold_fut,22,qr_ar,ALL,0.0378,0.05,2804,0.002,0.0,0.0
gold_fut,22,qr_ar,covid,0.0222,0.05,135,0.0977,0.0003,0.0004
gold_fut,22,qr_ar,ukraine,0.1908,0.05,131,0.0,0.0,0.0
gold_fut,22,chronos_2,ALL,0.0207,0.05,2804,0.0,0.0,0.0
gold_fut,22,chronos_2,covid,0.0296,0.05,135,0.2414,0.0018,0.0038
gold_fut,22,chronos_2,ukraine,0.0611,0.05,131,0.5737,0.0002,0.0009
gold_fut,22,chronos_2_lora,ALL,0.0232,0.05,2804,0.0,0.0,0.0
gold_fut,22,chronos_2_lora,covid,0.0296,0.05,135,0.2414,0.0018,0.0038
gold_fut,22,chronos_2_lora,ukraine,0.0611,0.05,131,0.5737,0.0002,0.0009
gold_fut,22,chronos_2_full,ALL,0.0499,0.05,2804,0.9862,0.0,0.0
gold_fut,22,chronos_2_full,covid,0.0296,0.05,135,0.2414,0.0018,0.0038
gold_fut,22,chronos_2_full,ukraine,0.1298,0.05,131,0.0004,0.0,0.0
gold_fut,22,moirai2_small,ALL,0.0214,0.05,2804,0.0,0.0,0.0
gold_fut,22,moirai2_small,covid,0.0296,0.05,135,0.2414,0.0018,0.0038
gold_fut,22,moirai2_small,ukraine,0.0534,0.05,131,0.8583,0.0,0.0002
silver_fut,1,garch_t,ALL,0.0556,0.05,2804,0.1784,0.3101,0.2416
silver_fut,1,garch_t,covid,0.0963,0.05,135,0.0276,0.4945,0.0701
silver_fut,1,garch_t,ukraine,0.0687,0.05,131,0.3514,0.633,0.578
silver_fut,1,qr_ar,ALL,0.0535,0.05,2804,0.4009,0.0187,0.0443
silver_fut,1,qr_ar,covid,0.1333,0.05,135,0.0002,0.0795,0.0002
silver_fut,1,qr_ar,ukraine,0.084,0.05,131,0.1025,0.9381,0.2628
silver_fut,1,chronos_2,ALL,0.0442,0.05,2804,0.1525,0.4873,0.2823
silver_fut,1,chronos_2,covid,0.037,0.05,135,0.4697,0.1544,0.2793
silver_fut,1,chronos_2,ukraine,0.0458,0.05,131,0.8231,0.2511,0.5048
silver_fut,1,chronos_2_lora,ALL,0.0492,0.05,2804,0.8484,0.6351,0.8773
silver_fut,1,chronos_2_lora,covid,0.0519,0.05,135,0.9218,0.3504,0.6435
silver_fut,1,chronos_2_lora,ukraine,0.0611,0.05,131,0.5737,0.491,0.6733
silver_fut,1,chronos_2_full,ALL,0.0731,0.05,2804,0.0,0.0363,0.0
silver_fut,1,chronos_2_full,covid,0.0519,0.05,135,0.9218,0.3504,0.6435
silver_fut,1,chronos_2_full,ukraine,0.1603,0.05,131,0.0,0.2658,0.0
silver_fut,1,moirai2_small,ALL,0.0514,0.05,2804,0.743,0.3262,0.5852
silver_fut,1,moirai2_small,covid,0.0593,0.05,135,0.6311,0.0666,0.1656
silver_fut,1,moirai2_small,ukraine,0.0458,0.05,131,0.8231,0.446,0.7295
silver_fut,5,garch_t,ALL,0.0592,0.05,2804,0.0296,0.0,0.0
silver_fut,5,garch_t,covid,0.0815,0.05,135,0.1224,0.0,0.0
