series,h,model,regime,hit_rate,expected,n,kupiec_p,christoffersen_ind_p,conditional_coverage_p
copper_fut,22,garch_t,ukraine,0.229,0.05,131,0.0,0.0,0.0
copper_fut,22,qr_ar,ALL,0.0592,0.05,2805,0.03,0.0,0.0
copper_fut,22,qr_ar,covid,0.1407,0.05,135,0.0001,0.0,0.0
copper_fut,22,qr_ar,ukraine,0.3282,0.05,131,0.0,0.0,0.0
copper_fut,22,chronos_2,ALL,0.0588,0.05,2805,0.0368,0.0,0.0
copper_fut,22,chronos_2,covid,0.1704,0.05,135,0.0,0.0,0.0
copper_fut,22,chronos_2,ukraine,0.2061,0.05,131,0.0,0.0,0.0
copper_fut,22,chronos_2_lora,ALL,0.0606,0.05,2805,0.0125,0.0,0.0
copper_fut,22,chronos_2_lora,covid,0.1704,0.05,135,0.0,0.0,0.0
copper_fut,22,chronos_2_lora,ukraine,0.2061,0.05,131,0.0,0.0,0.0
copper_fut,22,chronos_2_full,ALL,0.0895,0.05,2805,0.0,0.0,0.0
copper_fut,22,chronos_2_full,covid,0.1852,0.05,135,0.0,0.0,0.0
copper_fut,22,chronos_2_full,ukraine,0.2519,0.05,131,0.0,0.0,0.0
copper_fut,22,moirai2_small,ALL,0.0738,0.05,2805,0.0,0.0,0.0
copper_fut,22,moirai2_small,covid,0.1556,0.05,135,0.0,0.0,0.0
copper_fut,22,moirai2_small,ukraine,0.3206,0.05,131,0.0,0.0,0.0
platinum_fut,1,garch_t,ALL,0.0546,0.05,2803,0.2722,0.3667,0.3641
platinum_fut,1,garch_t,covid,0.0889,0.05,135,0.0604,0.3137,0.1032
platinum_fut,1,garch_t,ukraine,0.0687,0.05,131,0.3514,0.633,0.578
platinum_fut,1,qr_ar,ALL,0.0678,0.05,2803,0.0,0.7896,0.0002
platinum_fut,1,qr_ar,covid,0.2,0.05,135,0.0,0.489,0.0
platinum_fut,1,qr_ar,ukraine,0.084,0.05,131,0.1025,0.28,0.1471
platinum_fut,1,chronos_2,ALL,0.0453,0.05,2803,0.2472,0.736,0.4836
platinum_fut,1,chronos_2,covid,0.0815,0.05,135,0.1224,0.1604,0.1133
platinum_fut,1,chronos_2,ukraine,0.0305,0.05,131,0.272,0.6143,0.4818
platinum_fut,1,chronos_2_lora,ALL,0.0503,0.05,2803,0.9413,0.468,0.7664
platinum_fut,1,chronos_2_lora,covid,0.0889,0.05,135,0.0604,0.9364,0.1709
platinum_fut,1,chronos_2_lora,ukraine,0.0534,0.05,131,0.8583,0.3624,0.65
platinum_fut,1,chronos_2_full,ALL,0.0899,0.05,2803,0.0,0.0401,0.0
platinum_fut,1,chronos_2_full,covid,0.1259,0.05,135,0.0006,0.0311,0.0003
platinum_fut,1,chronos_2_full,ukraine,0.0687,0.05,131,0.3514,0.633,0.578
platinum_fut,1,moirai2_small,ALL,0.0367,0.05,2803,0.0007,0.2736,0.0019
platinum_fut,1,moirai2_small,covid,0.0889,0.05,135,0.0604,0.3137,0.1032
platinum_fut,1,moirai2_small,ukraine,0.0534,0.05,131,0.8583,0.3624,0.65
platinum_fut,5,garch_t,ALL,0.0528,0.05,2803,0.5,0.0,0.0
platinum_fut,5,garch_t,covid,0.0963,0.05,135,0.0276,0.0,0.0
platinum_fut,5,garch_t,ukraine,0.084,0.05,131,0.1025,0.0,0.0
platinum_fut,5,qr_ar,ALL,0.066,0.05,2803,0.0002,0.0,0.0
platinum_fut,5,qr_ar,covid,0.1407,0.05,135,0.0001,0.0,0.0
platinum_fut,5,qr_ar,ukraine,0.1527,0.05,131,0.0,0.0,0.0
platinum_fut,5,chronos_2,ALL,0.0553,0.05,2803,0.2054,0.0,0.0
platinum_fut,5,chronos_2,covid,0.0963,0.05,135,0.0276,0.0,0.0
platinum_fut,5,chronos_2,ukraine,0.0687,0.05,131,0.3514,0.0,0.0001
platinum_fut,5,chronos_2_lora,ALL,0.0614,0.05,2803,0.0076,0.0,0.0
platinum_fut,5,chronos_2_lora,covid,0.1111,0.05,135,0.0047,0.0,0.0
platinum_fut,5,chronos_2_lora,ukraine,0.0687,0.05,131,0.3514,0.0,0.0001
platinum_fut,5,chronos_2_full,ALL,0.0981,0.05,2803,0.0,0.0,0.0
platinum_fut,5,chronos_2_full,covid,0.1111,0.05,135,0.0047,0.0,0.0
platinum_fut,5,chronos_2_full,ukraine,0.0992,0.05,131,0.0218,0.0,0.0
platinum_fut,5,moirai2_small,ALL,0.0467,0.05,2803,0.4229,0.0,0.0
platinum_fut,5,moirai2_small,covid,0.1037,0.05,135,0.0118,0.0,0.0
platinum_fut,5,moirai2_small,ukraine,0.084,0.05,131,0.1025,0.0,0.0
platinum_fut,22,garch_t,ALL,0.0421,0.05,2803,0.0487,0.0,0.0
platinum_fut,22,garch_t,covid,0.2074,0.05,135,0.0,0.0,0.0
platinum_fut,22,garch_t,ukraine,0.0687,0.05,131,0.3514,0.0,0.0001
platinum_fut,22,qr_ar,ALL,0.0553,0.05,2803,0.2054,0.0,0.0
platinum_fut,22,qr_ar,covid,0.237,0.05,135,0.0,0.0,0.0
platinum_fut,22,qr_ar,ukraine,0.145,0.05,131,0.0,0.0,0.0
platinum_fut,22,chronos_2,ALL,0.0503,0.05,2803,0.9413,0.0,0.0
platinum_fut,22,chronos_2,covid,0.237,0.05,135,0.0,0.0,0.0
platinum_fut,22,chronos_2,ukraine,0.0382,0.05,131,0.5175,0.1599,0.3021
platinum_fut,22,chronos_2_lora,ALL,0.0514,0.05,2803,0.7397,0.0,0.0
platinum_fut,22,chronos_2_lora,covid,0.237,0.05,135,0.0,0.0,0.0
platinum_fut,22,chronos_2_lora,ukraine,0.0458,0.05,131,0.8231,0.0175,0.0579
platinum_fut,22,chronos_2_full,ALL,0.091,0.05,2803,0.0,0.0,0.0
platinum_fut,22,chronos_2_full,covid,0.2444,0.05,135,0.0,0.0,0.0
platinum_fut,22,chronos_2_full,ukraine,0.1221,0.05,131,0.0012,0.0,0.0
platinum_fut,22,moirai2_small,ALL,0.0503,0.05,2803,0.9413,0.0,0.0
platinum_fut,22,moirai2_small,covid,0.2296,0.05,135,0.0,0.0,0.0
platinum_fut,22,moirai2_small,ukraine,0.0763,0.05,131,0.1977,0.0,0.0
corn_fut,1,garch_t,ALL,0.0457,0.05,2802,0.2875,0.0007,0.0019
corn_fut,1,garch_t,covid,0.0667,0.05,135,0.3968,0.1136,0.1997
corn_fut,1,garch_t,ukraine,0.1145,0.05,131,0.0035,0.8203,0.0136
corn_fut,1,qr_ar,ALL,0.0446,0.05,2802,0.1828,0.0044,0.0071
corn_fut,1,qr_ar,covid,0.0667,0.05,135,0.3968,0.1136,0.1997
corn_fut,1,qr_ar,ukraine,0.145,0.05,131,0.0,0.5712,0.0002
corn_fut,1,chronos_2,ALL,0.0428,0.05,2802,0.0744,0.1049,0.0547
corn_fut,1,chronos_2,covid,0.0444,0.05,135,0.7629,0.4532,0.7212
corn_fut,1,chronos_2,ukraine,0.0534,0.05,131,0.8583,0.3624,0.65
corn_fut,1,chronos_2_lora,ALL,0.0496,0.05,2802,0.9239,0.0113,0.0403
corn_fut,1,chronos_2_lora,covid,0.0444,0.05,135,0.7629,0.4532,0.7212
corn_fut,1,chronos_2_lora,ukraine,0.0611,0.05,131,0.5737,0.491,0.6733
corn_fut,1,chronos_2_full,ALL,0.1017,0.05,2802,0.0,0.0,0.0
corn_fut,1,chronos_2_full,covid,0.0963,0.05,135,0.0276,0.4945,0.0701
corn_fut,1,chronos_2_full,ukraine,0.0534,0.05,131,0.8583,0.3624,0.65
corn_fut,1,moirai2_small,ALL,0.0435,0.05,2802,0.109,0.0009,0.0011
corn_fut,1,moirai2_small,covid,0.0296,0.05,135,0.2414,0.087,0.1164
corn_fut,1,moirai2_small,ukraine,0.1221,0.05,131,0.0012,0.9801,0.0055
corn_fut,5,garch_t,ALL,0.0507,0.05,2802,0.8695,0.0,0.0
corn_fut,5,garch_t,covid,0.0741,0.05,135,0.2295,0.0,0.0
corn_fut,5,garch_t,ukraine,0.0763,0.05,131,0.1977,0.0,0.0
corn_fut,5,qr_ar,ALL,0.0496,0.05,2802,0.9239,0.0,0.0
corn_fut,5,qr_ar,covid,0.0667,0.05,135,0.3968,0.0,0.0
corn_fut,5,qr_ar,ukraine,0.0763,0.05,131,0.1977,0.0,0.0
corn_fut,5,chronos_2,ALL,0.0603,0.05,2802,0.0151,0.0,0.0
corn_fut,5,chronos_2,covid,0.0741,0.05,135,0.2295,0.0,0.0
corn_fut,5,chronos_2,ukraine,0.0687,0.05,131,0.3514,0.0,0.0
corn_fut,5,chronos_2_lora,ALL,0.0657,0.05,2802,0.0003,0.0,0.0
corn_fut,5,chronos_2_lora,covid,0.0741,0.05,135,0.2295,0.0,0.0
corn_fut,5,chronos_2_lora,ukraine,0.0687,0.05,131,0.3514,0.0,0.0
corn_fut,5,chronos_2_full,ALL,0.0981,0.05,2802,0.0,0.0,0.0
corn_fut,5,chronos_2_full,covid,0.0963,0.05,135,0.0276,0.0,0.0
corn_fut,5,chronos_2_full,ukraine,0.0534,0.05,131,0.8583,0.0,0.0
corn_fut,5,moirai2_small,ALL,0.0539,0.05,2802,0.3505,0.0,0.0
corn_fut,5,moirai2_small,covid,0.0444,0.05,135,0.7629,0.0,0.0
corn_fut,5,moirai2_small,ukraine,0.0687,0.05,131,0.3514,0.0,0.0
corn_fut,22,garch_t,ALL,0.0607,0.05,2802,0.012,0.0,0.0
corn_fut,22,garch_t,covid,0.1852,0.05,135,0.0,0.0,0.0
corn_fut,22,garch_t,ukraine,0.145,0.05,131,0.0,0.0,0.0
corn_fut,22,qr_ar,ALL,0.0475,0.05,2802,0.535,0.0,0.0
corn_fut,22,qr_ar,covid,0.0667,0.05,135,0.3968,0.0,0.0001
corn_fut,22,qr_ar,ukraine,0.1603,0.05,131,0.0,0.0,0.0
corn_fut,22,chronos_2,ALL,0.0692,0.05,2802,0.0,0.0,0.0
corn_fut,22,chronos_2,covid,0.1407,0.05,135,0.0001,0.0,0.0
corn_fut,22,chronos_2,ukraine,0.1756,0.05,131,0.0,0.0,0.0
corn_fut,22,chronos_2_lora,ALL,0.0707,0.05,2802,0.0,0.0,0.0
corn_fut,22,chronos_2_lora,covid,0.1259,0.05,135,0.0006,0.0,0.0
corn_fut,22,chronos_2_lora,ukraine,0.1756,0.05,131,0.0,0.0,0.0
corn_fut,22,chronos_2_full,ALL,0.1056,0.05,2802,0.0,0.0,0.0
corn_fut,22,chronos_2_full,covid,0.1704,0.05,135,0.0,0.0,0.0
corn_fut,22,chronos_2_full,ukraine,0.1756,0.05,131,0.0,0.0,0.0
corn_fut,22,moirai2_small,ALL,0.0739,0.05,2802,0.0,0.0,0.0
corn_fut,22,moirai2_small,covid,0.1333,0.05,135,0.0002,0.0,0.0
corn_fut,22,moirai2_small,ukraine,0.1679,0.05,131,0.0,0.0,0.0
wheat_fut,1,garch_t,ALL,0.0439,0.05,2804,0.1283,0.2714,0.1718
wheat_fut,1,garch_t,covid,0.037,0.05,135,0.4697,0.5335,0.6343
wheat_fut,1,garch_t,ukraine,0.0763,0.05,131,0.1977,0.7838,0.4202
wheat_fut,1,qr_ar,ALL,0.0492,0.05,2804,0.8484,0.0243,0.0778
wheat_fut,1,qr_ar,covid,0.0296,0.05,135,0.2414,0.6198,0.4451
wheat_fut,1,qr_ar,ukraine,0.1985,0.05,131,0.0,0.1402,0.0
wheat_fut,1,chronos_2,ALL,0.0303,0.05,2804,0.0,0.2502,0.0
wheat_fut,1,chronos_2,covid,0.0296,0.05,135,0.2414,0.6198,0.4451
wheat_fut,1,chronos_2,ukraine,0.0305,0.05,131,0.272,0.6143,0.4818
wheat_fut,1,chronos_2_lora,ALL,0.0382,0.05,2804,0.0027,0.5594,0.0095
wheat_fut,1,chronos_2_lora,covid,0.0519,0.05,135,0.9218,0.3796,0.6765
wheat_fut,1,chronos_2_lora,ukraine,0.0305,0.05,131,0.272,0.6143,0.4818
wheat_fut,1,chronos_2_full,ALL,0.0717,0.05,2804,0.0,0.0118,0.0
wheat_fut,1,chronos_2_full,covid,0.0815,0.05,135,0.1224,0.1604,0.1133
wheat_fut,1,chronos_2_full,ukraine,0.0229,0.05,131,0.1128,0.7066,0.2649
wheat_fut,1,moirai2_small,ALL,0.0335,0.05,2804,0.0,0.3186,0.0001
wheat_fut,1,moirai2_small,covid,0.0296,0.05,135,0.2414,0.6198,0.4451
wheat_fut,1,moirai2_small,ukraine,0.0458,0.05,131,0.8231,0.2511,0.5048
wheat_fut,5,garch_t,ALL,0.0382,0.05,2804,0.0027,0.0,0.0
wheat_fut,5,garch_t,covid,0.0148,0.05,135,0.0283,0.8055,0.0876
wheat_fut,5,garch_t,ukraine,0.1374,0.05,131,0.0001,0.0,0.0
wheat_fut,5,qr_ar,ALL,0.0546,0.05,2804,0.2741,0.0,0.0
wheat_fut,5,qr_ar,covid,0.0074,0.05,135,0.0048,0.9024,0.0188
wheat_fut,5,qr_ar,ukraine,0.229,0.05,131,0.0,0.0,0.0
wheat_fut,5,chronos_2,ALL,0.0456,0.05,2804,0.2836,0.0,0.0
wheat_fut,5,chronos_2,covid,0.0444,0.05,135,0.7629,0.0164,0.0536
wheat_fut,5,chronos_2,ukraine,0.084,0.05,131,0.1025,0.0004,0.0005
wheat_fut,5,chronos_2_lora,ALL,0.0496,0.05,2804,0.9171,0.0,0.0
wheat_fut,5,chronos_2_lora,covid,0.0519,0.05,135,0.9218,0.0017,0.0072
wheat_fut,5,chronos_2_lora,ukraine,0.0916,0.05,131,0.0491,0.0001,0.0
wheat_fut,5,chronos_2_full,ALL,0.072,0.05,2804,0.0,0.0,0.0
wheat_fut,5,chronos_2_full,covid,0.0741,0.05,135,0.2295,0.0001,0.0002
wheat_fut,5,chronos_2_full,ukraine,0.0916,0.05,131,0.0491,0.0001,0.0
wheat_fut,5,moirai2_small,ALL,0.0428,0.05,2804,0.073,0.0,0.0
wheat_fut,5,moirai2_small,covid,0.0296,0.05,135,0.2414,0.6198,0.4451
wheat_fut,5,moirai2_small,ukraine,0.0534,0.05,131,0.8583,0.0,0.0
wheat_fut,22,garch_t,ALL,0.0332,0.05,2804,0.0,0.0,0.0
wheat_fut,22,garch_t,covid,0.0,0.05,135,0.0002,1.0,0.001
wheat_fut,22,garch_t,ukraine,0.2214,0.05,131,0.0,0.0,0.0
wheat_fut,22,qr_ar,ALL,0.0539,0.05,2804,0.3551,0.0,0.0
wheat_fut,22,qr_ar,covid,0.0,0.05,135,0.0002,1.0,0.001
wheat_fut,22,qr_ar,ukraine,0.2901,0.05,131,0.0,0.0,0.0
wheat_fut,22,chronos_2,ALL,0.041,0.05,2804,0.0244,0.0,0.0
wheat_fut,22,chronos_2,covid,0.0296,0.05,135,0.2414,0.0018,0.0038
wheat_fut,22,chronos_2,ukraine,0.1603,0.05,131,0.0,0.0,0.0
wheat_fut,22,chronos_2_lora,ALL,0.041,0.05,2804,0.0244,0.0,0.0
wheat_fut,22,chronos_2_lora,covid,0.0296,0.05,135,0.2414,0.0018,0.0038
wheat_fut,22,chronos_2_lora,ukraine,0.1679,0.05,131,0.0,0.0,0.0
wheat_fut,22,chronos_2_full,ALL,0.0621,0.05,2804,0.0047,0.0,0.0
wheat_fut,22,chronos_2_full,covid,0.037,0.05,135,0.4697,0.0063,0.0184
wheat_fut,22,chronos_2_full,ukraine,0.1832,0.05,131,0.0,0.0,0.0
wheat_fut,22,moirai2_small,ALL,0.0432,0.05,2804,0.0888,0.0,0.0
wheat_fut,22,moirai2_small,covid,0.0,0.05,135,0.0002,1.0,0.001
wheat_fut,22,moirai2_small,ukraine,0.1221,0.05,131,0.0012,0.0,0.0
soybean_fut,1,garch_t,ALL,0.046,0.05,2804,0.3255,0.3971,0.4309
soybean_fut,1,garch_t,covid,0.0444,0.05,135,0.7629,0.4532,0.7212
soybean_fut,1,garch_t,ukraine,0.0916,0.05,131,0.0491,0.909,0.1433
soybean_fut,1,qr_ar,ALL,0.0464,0.05,2804,0.3712,0.1182,0.1978
soybean_fut,1,qr_ar,covid,0.0222,0.05,135,0.0977,0.7109,0.2369
soybean_fut,1,qr_ar,ukraine,0.1756,0.05,131,0.0,0.9667,0.0
soybean_fut,1,chronos_2,ALL,0.0374,0.05,2804,0.0014,0.6109,0.0055
soybean_fut,1,chronos_2,covid,0.0667,0.05,135,0.3968,0.2547,0.3651
soybean_fut,1,chronos_2,ukraine,0.0382,0.05,131,0.5175,0.527,0.664
soybean_fut,1,chronos_2_lora,ALL,0.0435,0.05,2804,0.1071,0.7587,0.2605
soybean_fut,1,chronos_2_lora,covid,0.0667,0.05,135,0.3968,0.2547,0.3651
soybean_fut,1,chronos_2_lora,ukraine,0.0382,0.05,131,0.5175,0.527,0.664
soybean_fut,1,chronos_2_full,ALL,0.0974,0.05,2804,0.0,0.0,0.0
soybean_fut,1,chronos_2_full,covid,0.0667,0.05,135,0.3968,0.2547,0.3651
soybean_fut,1,chronos_2_full,ukraine,0.0458,0.05,131,0.8231,0.446,0.7295
soybean_fut,1,moirai2_small,ALL,0.0407,0.05,2804,0.0191,0.1367,0.0212
soybean_fut,1,moirai2_small,covid,0.037,0.05,135,0.4697,0.5335,0.6343
soybean_fut,1,moirai2_small,ukraine,0.1298,0.05,131,0.0004,0.2027,0.0009
soybean_fut,5,garch_t,ALL,0.0499,0.05,2804,0.9862,0.0,0.0
soybean_fut,5,garch_t,covid,0.0741,0.05,135,0.2295,0.0,0.0
soybean_fut,5,garch_t,ukraine,0.0916,0.05,131,0.0491,0.0,0.0
soybean_fut,5,qr_ar,ALL,0.0399,0.05,2804,0.0115,0.0,0.0
soybean_fut,5,qr_ar,covid,0.0222,0.05,135,0.0977,0.0003,0.0004
soybean_fut,5,qr_ar,ukraine,0.1298,0.05,131,0.0004,0.0,0.0
soybean_fut,5,chronos_2,ALL,0.0528,0.05,2804,0.5028,0.0,0.0
soybean_fut,5,chronos_2,covid,0.0667,0.05,135,0.3968,0.0,0.0001
soybean_fut,5,chronos_2,ukraine,0.0916,0.05,131,0.0491,0.0,0.0
soybean_fut,5,chronos_2_lora,ALL,0.0585,0.05,2804,0.0444,0.0,0.0
soybean_fut,5,chronos_2_lora,covid,0.0667,0.05,135,0.3968,0.0,0.0001
soybean_fut,5,chronos_2_lora,ukraine,0.0992,0.05,131,0.0218,0.0,0.0
soybean_fut,5,chronos_2_full,ALL,0.0949,0.05,2804,0.0,0.0,0.0
soybean_fut,5,chronos_2_full,covid,0.0815,0.05,135,0.1224,0.0,0.0
soybean_fut,5,chronos_2_full,ukraine,0.0992,0.05,131,0.0218,0.0,0.0
soybean_fut,5,moirai2_small,ALL,0.0453,0.05,2804,0.2454,0.0,0.0
soybean_fut,5,moirai2_small,covid,0.0444,0.05,135,0.7629,0.0,0.0
soybean_fut,5,moirai2_small,ukraine,0.1221,0.05,131,0.0012,0.0,0.0
soybean_fut,22,garch_t,ALL,0.0521,0.05,2804,0.6175,0.0,0.0
soybean_fut,22,garch_t,covid,0.0222,0.05,135,0.0977,0.0003,0.0004
soybean_fut,22,garch_t,ukraine,0.0534,0.05,131,0.8583,0.0,0.0
soybean_fut,22,qr_ar,ALL,0.0432,0.05,2804,0.0888,0.0,0.0
soybean_fut,22,qr_ar,covid,0.0,0.05,135,0.0002,1.0,0.001
soybean_fut,22,qr_ar,ukraine,0.084,0.05,131,0.1025,0.0,0.0
soybean_fut,22,chronos_2,ALL,0.0417,0.05,2804,0.0387,0.0,0.0
soybean_fut,22,chronos_2,covid,0.0296,0.05,135,0.2414,0.0,0.0
soybean_fut,22,chronos_2,ukraine,0.0458,0.05,131,0.8231,0.0,0.0
soybean_fut,22,chronos_2_lora,ALL,0.0439,0.05,2804,0.1283,0.0,0.0
soybean_fut,22,chronos_2_lora,covid,0.0296,0.05,135,0.2414,0.0,0.0
soybean_fut,22,chronos_2_lora,ukraine,0.0458,0.05,131,0.8231,0.0,0.0
soybean_fut,22,chronos_2_full,ALL,0.0827,0.05,2804,0.0,0.0,0.0
soybean_fut,22,chronos_2_full,covid,0.0444,0.05,135,0.7629,0.0,0.0
soybean_fut,22,chronos_2_full,ukraine,0.0534,0.05,131,0.8583,0.0,0.0
soybean_fut,22,moirai2_small,ALL,0.0546,0.05,2804,0.2741,0.0,0.0
soybean_fut,22,moirai2_small,covid,0.0,0.05,135,0.0002,1.0,0.001
soybean_fut,22,moirai2_small,ukraine,0.0687,0.05,131,0.3514,0.0,0.0
