series,h,model,gw_stat,gw_p
gold_fut,5,chronos_bolt_small,3.91,0.1414
gold_fut,5,chronos_bolt_base,3.05,0.2181
gold_fut,5,chronos_2,4.01,0.135
gold_fut,5,chronos_2_lora,4.48,0.1065
gold_fut,5,chronos_2_full,4.38,0.1122
gold_fut,5,timesfm_25,4.76,0.0924
gold_fut,5,moirai2_small,7.33,0.0256
gold_fut,22,ar5_returns,5.04,0.0805
gold_fut,22,lear_lite,5.32,0.07
gold_fut,22,garch_t,4.38,0.112
gold_fut,22,qr_ar,5.63,0.0598
gold_fut,22,chronos_bolt_small,3.33,0.1896
gold_fut,22,chronos_bolt_base,3.11,0.2108
gold_fut,22,chronos_2,2.43,0.2962
gold_fut,22,chronos_2_lora,2.5,0.2868
gold_fut,22,chronos_2_full,3.13,0.2095
gold_fut,22,timesfm_25,2.36,0.308
gold_fut,22,moirai2_small,2.26,0.3228
silver_fut,1,ar5_returns,0.61,0.7361
silver_fut,1,lear_lite,2.63,0.2686
silver_fut,1,garch_t,3.14,0.2081
silver_fut,1,qr_ar,3.07,0.2153
silver_fut,1,chronos_bolt_small,1.28,0.5275
silver_fut,1,chronos_bolt_base,15.08,0.0005
silver_fut,1,chronos_2,2.08,0.3529
silver_fut,1,chronos_2_lora,2.2,0.3322
silver_fut,1,chronos_2_full,1.56,0.4577
silver_fut,1,timesfm_25,4.43,0.109
silver_fut,1,moirai2_small,0.44,0.8009
silver_fut,5,ar5_returns,11.34,0.0034
silver_fut,5,lear_lite,4.02,0.1337
silver_fut,5,garch_t,5.53,0.0628
silver_fut,5,qr_ar,3.47,0.1764
silver_fut,5,chronos_bolt_small,-0.04,
silver_fut,5,chronos_bolt_base,2.38,0.3039
silver_fut,5,chronos_2,2.17,0.3372
silver_fut,5,chronos_2_lora,2.58,0.2755
silver_fut,5,chronos_2_full,1.38,0.5014
silver_fut,5,timesfm_25,3.9,0.1421
silver_fut,5,moirai2_small,2.6,0.2731
silver_fut,22,ar5_returns,1.57,0.4565
silver_fut,22,lear_lite,1.44,0.4876
silver_fut,22,garch_t,1.44,0.4869
silver_fut,22,qr_ar,2.23,0.3284
silver_fut,22,chronos_bolt_small,1.73,0.421
silver_fut,22,chronos_bolt_base,1.17,0.556
silver_fut,22,chronos_2,1.06,0.5886
silver_fut,22,chronos_2_lora,0.5,0.7777
silver_fut,22,chronos_2_full,1.38,0.5021
silver_fut,22,timesfm_25,3.23,0.1993
silver_fut,22,moirai2_small,1.83,0.4002
copper_fut,1,ar5_returns,3.21,0.2005
copper_fut,1,lear_lite,2.1,0.3499
copper_fut,1,garch_t,6.76,0.034
copper_fut,1,qr_ar,3.25,0.1971
copper_fut,1,chronos_bolt_small,39.51,0.0
copper_fut,1,chronos_bolt_base,43.87,0.0
copper_fut,1,chronos_2,10.8,0.0045
copper_fut,1,chronos_2_lora,11.68,0.0029
copper_fut,1,chronos_2_full,25.66,0.0
copper_fut,1,timesfm_25,5.1,0.0781
copper_fut,1,moirai2_small,17.37,0.0002
copper_fut,5,ar5_returns,10.28,0.0059
copper_fut,5,lear_lite,8.18,0.0168
copper_fut,5,garch_t,7.49,0.0236
copper_fut,5,qr_ar,8.46,0.0146
copper_fut,5,chronos_bolt_small,27.23,0.0
copper_fut,5,chronos_bolt_base,13.46,0.0012
copper_fut,5,chronos_2,13.18,0.0014
copper_fut,5,chronos_2_lora,5.11,0.0779
copper_fut,5,chronos_2_full,4.01,0.1344
copper_fut,5,timesfm_25,3.01,0.2218
copper_fut,5,moirai2_small,26.26,0.0
copper_fut,22,ar5_returns,11.11,0.0039
copper_fut,22,lear_lite,6.49,0.039
copper_fut,22,garch_t,4.58,0.1013
copper_fut,22,qr_ar,11.26,0.0036
copper_fut,22,chronos_bolt_small,4.4,0.1107
copper_fut,22,chronos_bolt_base,6.28,0.0434
copper_fut,22,chronos_2,4.68,0.0965
copper_fut,22,chronos_2_lora,4.65,0.0977
copper_fut,22,chronos_2_full,4.18,0.1238
copper_fut,22,timesfm_25,3.84,0.1466
copper_fut,22,moirai2_small,7.01,0.03
platinum_fut,1,ar5_returns,2.08,0.3543
platinum_fut,1,lear_lite,6.79,0.0336
platinum_fut,1,garch_t,6.44,0.0399
platinum_fut,1,qr_ar,0.08,0.9603
platinum_fut,1,chronos_bolt_small,5.0,0.0821
platinum_fut,1,chronos_bolt_base,11.36,0.0034
platinum_fut,1,chronos_2,2.65,0.2659
platinum_fut,1,chronos_2_lora,2.37,0.3063
