target_date,origin_date,actual,origin_price,q05,q10,q25,q50,q75,q90,q95
2023-01-03,2022-12-30,3.766000032424927,3.805500030517578,3.72886061668396,3.72886061668396,3.7612385749816895,3.7948455810546875,3.8321268558502197,3.8633837699890137,3.8633837699890137
2023-01-04,2023-01-03,3.739500045776367,3.766000032424927,3.6826908588409424,3.6826908588409424,3.7164392471313477,3.7523932456970215,3.7934131622314453,3.829005718231201,3.829005718231201
2023-01-05,2023-01-04,3.818000078201294,3.739500045776367,3.6548011302948,3.6548011302948,3.687593936920166,3.7228288650512695,3.7633392810821533,3.798921585083008,3.798921585083008
2023-01-06,2023-01-05,3.908499956130981,3.818000078201294,3.7213242053985596,3.7213242053985596,3.756864070892334,3.795849084854126,3.8390560150146484,3.877068042755127,3.877068042755127
2023-01-09,2023-01-06,4.018499851226807,3.908499956130981,3.820864677429199,3.820864677429199,3.854964017868042,3.8933091163635254,3.9351255893707275,3.971647024154663,3.971647024154663
2023-01-10,2023-01-09,4.066999912261963,4.018499851226807,3.9564826488494873,3.9564826488494873,3.9964990615844727,4.039606094360352,4.082389831542969,4.11856746673584,4.11856746673584
2023-01-11,2023-01-10,4.1545000076293945,4.066999912261963,3.979365825653076,3.979365825653076,4.017961502075195,4.058700084686279,4.099496364593506,4.133682727813721,4.133682727813721
2023-01-12,2023-01-11,4.185999870300293,4.1545000076293945,4.061251640319824,4.061251640319824,4.100986480712891,4.1424880027771,4.183863162994385,4.21875,4.21875
2023-01-13,2023-01-12,4.207499980926514,4.185999870300293,4.102099895477295,4.102099895477295,4.141037940979004,4.180759429931641,4.220180511474609,4.252866268157959,4.252866268157959
2023-01-17,2023-01-13,4.215000152587891,4.207499980926514,4.128536224365234,4.128536224365234,4.166430473327637,4.203775405883789,4.240798473358154,4.2722296714782715,4.2722296714782715
2023-01-18,2023-01-17,4.228499889373779,4.215000152587891,4.127806663513184,4.127806663513184,4.165938854217529,4.20290994644165,4.239950180053711,4.2710113525390625,4.2710113525390625
2023-01-19,2023-01-18,4.226500034332275,4.228499889373779,4.163080215454102,4.163080215454102,4.200209617614746,4.235448837280273,4.269431114196777,4.296751976013184,4.296751976013184
2023-01-20,2023-01-19,4.248499870300293,4.226500034332275,4.16818380355835,4.16818380355835,4.2038068771362305,4.2376227378845215,4.269618988037109,4.29412317276001,4.29412317276001
2023-01-23,2023-01-20,4.254000186920166,4.248499870300293,4.194040298461914,4.194040298461914,4.228042125701904,4.260093688964844,4.290802001953125,4.314665794372559,4.314665794372559
2023-01-24,2023-01-23,4.245500087738037,4.254000186920166,4.203344345092773,4.203344345092773,4.238208293914795,4.270906925201416,4.30229377746582,4.327282905578613,4.327282905578613
2023-01-25,2023-01-24,4.239999771118164,4.245500087738037,4.198856830596924,4.198856830596924,4.235047340393066,4.270008563995361,4.3040924072265625,4.3319807052612305,4.3319807052612305
2023-01-26,2023-01-25,4.267000198364258,4.239999771118164,4.187075614929199,4.187075614929199,4.224325656890869,4.261473178863525,4.298214435577393,4.327982425689697,4.327982425689697
2023-01-27,2023-01-26,4.223999977111816,4.267000198364258,4.1908183097839355,4.1908183097839355,4.22984504699707,4.268943786621094,4.307880401611328,4.339578628540039,4.339578628540039
2023-01-30,2023-01-27,4.203499794006348,4.223999977111816,4.151674747467041,4.151674747467041,4.188956260681152,4.225955009460449,4.26317834854126,4.293066024780273,4.293066024780273
2023-01-31,2023-01-30,4.228499889373779,4.203499794006348,4.124223709106445,4.124223709106445,4.161718845367432,4.1984944343566895,4.235549449920654,4.2660298347473145,4.2660298347473145
2023-02-01,2023-01-31,4.111000061035156,4.228499889373779,4.157866477966309,4.157866477966309,4.194055557250977,4.229564189910889,4.265169143676758,4.294978141784668,4.294978141784668
2023-02-02,2023-02-01,4.093999862670898,4.111000061035156,4.041009426116943,4.041009426116943,4.076869964599609,4.112020015716553,4.148444652557373,4.179567813873291,4.179567813873291
2023-02-03,2023-02-02,4.063000202178955,4.093999862670898,4.0316481590271,4.0316481590271,4.066327095031738,4.100611686706543,4.136093616485596,4.166130065917969,4.166130065917969
2023-02-06,2023-02-03,4.043499946594238,4.063000202178955,4.001559257507324,4.001559257507324,4.0365753173828125,4.0709686279296875,4.106780529022217,4.137605667114258,4.137605667114258
2023-02-07,2023-02-06,4.088500022888184,4.043499946594238,3.986039876937866,3.986039876937866,4.021051406860352,4.055258750915527,4.090749740600586,4.121646404266357,4.121646404266357
2023-02-08,2023-02-07,4.043499946594238,4.088500022888184,4.03316068649292,4.03316068649292,4.068323135375977,4.102684497833252,4.137233734130859,4.1681928634643555,4.1681928634643555
2023-02-09,2023-02-08,4.105500221252441,4.043499946594238,3.989750385284424,3.989750385284424,4.026249885559082,4.061047077178955,4.096294403076172,4.128495216369629,4.128495216369629
2023-02-10,2023-02-09,4.027500152587891,4.105500221252441,4.051029205322266,4.051029205322266,4.087729454040527,4.123220920562744,4.157949447631836,4.1890363693237305,4.1890363693237305
2023-02-13,2023-02-10,4.086999893188477,4.027500152587891,3.9734060764312744,3.9734060764312744,4.0108442306518555,4.047752857208252,4.08549690246582,4.1194071769714355,4.1194071769714355
2023-02-14,2023-02-13,4.110000133514404,4.086999893188477,4.02971076965332,4.02971076965332,4.06695556640625,4.103793621063232,4.140528678894043,4.1732330322265625,4.1732330322265625
2023-02-15,2023-02-14,4.052000045776367,4.110000133514404,4.045693397521973,4.045693397521973,4.082254886627197,4.118379592895508,4.1545305252075195,4.18754243850708,4.18754243850708
2023-02-16,2023-02-15,4.165500164031982,4.052000045776367,3.982682466506958,3.982682466506958,4.021141052246094,4.059446334838867,4.098639488220215,4.135777473449707,4.135777473449707
2023-02-17,2023-02-16,4.113999843597412,4.165500164031982,4.070206165313721,4.070206165313721,4.1104736328125,4.151464462280273,4.191374778747559,4.227598667144775,4.227598667144775
2023-02-21,2023-02-17,4.234499931335449,4.113999843597412,4.023348331451416,4.023348331451416,4.063171863555908,4.102805137634277,4.1420440673828125,4.177674770355225,4.177674770355225
2023-02-22,2023-02-21,4.202499866485596,4.234499931335449,4.118297576904297,4.118297576904297,4.164600849151611,4.211761951446533,4.255682468414307,4.294803619384766,4.294803619384766
2023-02-23,2023-02-22,4.072999954223633,4.202499866485596,4.09344482421875,4.09344482421875,4.135059356689453,4.177168846130371,4.217221260070801,4.253649711608887,4.253649711608887
2023-02-24,2023-02-23,3.954999923706055,4.072999954223633,3.982988119125366,3.982988119125366,4.022075653076172,4.063011646270752,4.104869842529297,4.144574165344238,4.144574165344238
2023-02-27,2023-02-24,4.008999824523926,3.954999923706055,3.8633458614349365,3.8633458614349365,3.903186798095703,3.9466402530670166,3.993180751800537,4.03715181350708,4.03715181350708
2023-02-28,2023-02-27,4.097499847412109,4.008999824523926,3.9268605709075928,3.9268605709075928,3.963973045349121,4.004380702972412,4.0468010902404785,4.085871696472168,4.085871696472168
2023-03-01,2023-02-28,4.168000221252441,4.097499847412109,3.9937636852264404,3.9937636852264404,4.033576488494873,4.076055526733398,4.118645668029785,4.157015323638916,4.157015323638916
2023-03-02,2023-03-01,4.084000110626221,4.168000221252441,4.066034317016602,4.066034317016602,4.106730937957764,4.149611949920654,4.1913652420043945,4.2287421226501465,4.2287421226501465
2023-03-03,2023-03-02,4.078000068664551,4.084000110626221,3.9895694255828857,3.9895694255828857,4.028067588806152,4.06865119934082,4.110201358795166,4.148960113525391,4.148960113525391
2023-03-06,2023-03-03,4.100500106811523,4.078000068664551,3.9955132007598877,3.9955132007598877,4.034282684326172,4.074140548706055,4.114483833312988,4.151578426361084,4.151578426361084
2023-03-07,2023-03-06,3.986500024795532,4.100500106811523,4.012185096740723,4.012185096740723,4.050107955932617,4.089046001434326,4.127491474151611,4.161695957183838,4.161695957183838
2023-03-08,2023-03-07,4.041500091552734,3.986500024795532,3.9160985946655273,3.9160985946655273,3.956531524658203,3.998995304107666,4.042363166809082,4.081133842468262,4.081133842468262
2023-03-09,2023-03-08,4.054500102996826,4.041500091552734,3.956526279449463,3.956526279449463,3.997241258621216,4.040138244628906,4.083019256591797,4.120627403259277,4.120627403259277
