target_date,origin_date,actual,origin_price,q05,q10,q25,q50,q75,q90,q95
2023-01-03,2022-12-30,1839.699951171875,1819.699951171875,1803.6097412109375,1803.6097412109375,1813.936767578125,1823.6590576171875,1833.58349609375,1842.5933837890625,1842.5933837890625
2023-01-04,2023-01-03,1852.800048828125,1839.699951171875,1816.6961669921875,1816.6961669921875,1827.546875,1837.830810546875,1848.1767578125,1857.846435546875,1857.846435546875
2023-01-05,2023-01-04,1834.800048828125,1852.800048828125,1832.32373046875,1832.32373046875,1844.037109375,1855.123291015625,1866.1754150390625,1877.00634765625,1877.00634765625
2023-01-06,2023-01-05,1864.199951171875,1834.800048828125,1811.78173828125,1811.78173828125,1822.96630859375,1833.94677734375,1845.1591796875,1855.97021484375,1855.97021484375
2023-01-09,2023-01-06,1872.699951171875,1864.199951171875,1834.3031005859375,1834.3031005859375,1847.396240234375,1860.12109375,1872.8277587890625,1885.4244384765625,1885.4244384765625
2023-01-10,2023-01-09,1871.5999755859373,1872.699951171875,1844.7469482421875,1844.7469482421875,1857.158935546875,1869.1551513671875,1881.0545654296875,1892.90380859375,1892.90380859375
2023-01-11,2023-01-10,1874.5999755859373,1871.5999755859373,1847.7723388671875,1847.7723388671875,1859.103271484375,1870.015625,1881.036865234375,1892.0267333984375,1892.0267333984375
2023-01-12,2023-01-11,1895.5,1874.5999755859373,1852.9749755859375,1852.9749755859375,1863.666259765625,1873.8685302734375,1884.4114990234375,1894.93603515625,1894.93603515625
2023-01-13,2023-01-12,1918.4000244140625,1895.5,1870.5369873046875,1870.5369873046875,1881.409912109375,1891.687255859375,1902.43701171875,1913.68505859375,1913.68505859375
2023-01-17,2023-01-13,1907.199951171875,1918.4000244140625,1889.454345703125,1889.454345703125,1901.111083984375,1912.5277099609375,1924.508056640625,1936.9168701171875,1936.9168701171875
2023-01-18,2023-01-17,1904.4000244140625,1907.199951171875,1885.1513671875,1885.1513671875,1895.017578125,1904.7005615234375,1915.0328369140625,1925.279296875,1925.279296875
2023-01-19,2023-01-18,1922.0999755859373,1904.4000244140625,1886.589599609375,1886.589599609375,1895.822021484375,1904.8836669921875,1914.696044921875,1924.3758544921875,1924.3758544921875
2023-01-20,2023-01-19,1926.4000244140625,1922.0999755859373,1899.0821533203125,1899.0821533203125,1909.3756103515625,1919.002685546875,1928.988037109375,1938.968994140625,1938.968994140625
2023-01-23,2023-01-20,1927.0999755859373,1926.4000244140625,1903.6060791015625,1903.6060791015625,1913.8211669921875,1923.749267578125,1933.8037109375,1943.315185546875,1943.315185546875
2023-01-24,2023-01-23,1933.9000244140625,1927.0999755859373,1904.415771484375,1904.415771484375,1914.7646484375,1924.792724609375,1934.7928466796875,1943.9166259765625,1943.9166259765625
2023-01-25,2023-01-24,1941.199951171875,1933.9000244140625,1912.0740966796875,1912.0740966796875,1922.0045166015625,1931.7449951171875,1941.4676513671875,1950.185302734375,1950.185302734375
2023-01-26,2023-01-25,1929.0999755859373,1941.199951171875,1918.9979248046875,1918.9979248046875,1929.759765625,1940.470703125,1951.142333984375,1960.896484375,1960.896484375
2023-01-27,2023-01-26,1928.5999755859373,1929.0999755859373,1907.5489501953125,1907.5489501953125,1918.3765869140625,1929.512939453125,1940.6956787109375,1950.679931640625,1950.679931640625
2023-01-30,2023-01-27,1922.9000244140625,1928.5999755859373,1904.36474609375,1904.36474609375,1915.164794921875,1926.5057373046875,1937.9462890625,1948.39794921875,1948.39794921875
2023-01-31,2023-01-30,1929.5,1922.9000244140625,1898.5736083984375,1898.5736083984375,1909.32470703125,1920.56787109375,1931.982666015625,1942.7611083984375,1942.7611083984375
2023-02-01,2023-01-31,1927.800048828125,1929.5,1905.43505859375,1905.43505859375,1915.9566650390625,1926.918701171875,1938.1669921875,1949.1895751953125,1949.1895751953125
2023-02-02,2023-02-01,1916.300048828125,1927.800048828125,1904.864501953125,1904.864501953125,1915.190185546875,1926.0311279296875,1937.21630859375,1948.3990478515625,1948.3990478515625
2023-02-03,2023-02-02,1862.9000244140625,1916.300048828125,1894.30224609375,1894.30224609375,1904.6552734375,1915.8013916015625,1927.55517578125,1939.0712890625,1939.0712890625
2023-02-06,2023-02-03,1866.199951171875,1862.9000244140625,1836.2447509765625,1836.2447509765625,1850.658935546875,1865.7320556640625,1881.7335205078125,1897.252197265625,1897.252197265625
2023-02-07,2023-02-06,1871.699951171875,1866.199951171875,1846.1181640625,1846.1181640625,1859.36669921875,1873.138427734375,1887.8717041015625,1902.47216796875,1902.47216796875
2023-02-08,2023-02-07,1877.4000244140625,1871.699951171875,1848.00537109375,1848.00537109375,1861.17724609375,1874.9490966796875,1889.544677734375,1903.6573486328125,1903.6573486328125
2023-02-09,2023-02-08,1866.199951171875,1877.4000244140625,1855.6552734375,1855.6552734375,1867.796875,1880.56005859375,1894.3017578125,1907.88232421875,1907.88232421875
2023-02-10,2023-02-09,1862.800048828125,1866.199951171875,1844.06982421875,1844.06982421875,1856.114501953125,1868.363037109375,1881.648681640625,1894.9501953125,1894.9501953125
2023-02-13,2023-02-10,1851.9000244140625,1862.800048828125,1843.87939453125,1843.87939453125,1855.739013671875,1867.4422607421875,1879.9619140625,1892.65185546875,1892.65185546875
2023-02-14,2023-02-13,1854.0,1851.9000244140625,1833.487548828125,1833.487548828125,1845.5509033203125,1857.951171875,1871.099365234375,1884.184814453125,1884.184814453125
2023-02-15,2023-02-14,1834.199951171875,1854.0,1832.39892578125,1832.39892578125,1844.4373779296875,1856.786865234375,1869.9334716796875,1883.0521240234375,1883.0521240234375
2023-02-16,2023-02-15,1842.0,1834.199951171875,1812.5526123046875,1812.5526123046875,1824.4901123046875,1837.109375,1850.705322265625,1864.1768798828125,1864.1768798828125
2023-02-17,2023-02-16,1840.4000244140625,1842.0,1820.2386474609375,1820.2386474609375,1832.28759765625,1845.1136474609375,1858.921142578125,1872.5255126953125,1872.5255126953125
2023-02-21,2023-02-17,1833.0,1840.4000244140625,1819.797119140625,1819.797119140625,1831.2275390625,1843.5906982421875,1857.0245361328125,1870.259765625,1870.259765625
2023-02-22,2023-02-21,1832.0,1833.0,1812.4058837890625,1812.4058837890625,1823.360595703125,1834.9964599609375,1847.564697265625,1860.2119140625,1860.2119140625
2023-02-23,2023-02-22,1818.0,1832.0,1813.1053466796875,1813.1053466796875,1823.49560546875,1834.640380859375,1846.811767578125,1859.31298828125,1859.31298828125
2023-02-24,2023-02-23,1808.800048828125,1818.0,1803.8580322265625,1803.8580322265625,1813.6475830078125,1824.037109375,1835.3675537109375,1847.146484375,1847.146484375
2023-02-27,2023-02-24,1817.0,1808.800048828125,1791.191650390625,1791.191650390625,1801.32568359375,1812.1646728515625,1823.851806640625,1836.1070556640625,1836.1070556640625
2023-02-28,2023-02-27,1828.9000244140625,1817.0,1798.80126953125,1798.80126953125,1807.87841796875,1817.6856689453125,1828.5009765625,1839.6683349609375,1839.6683349609375
2023-03-01,2023-02-28,1837.699951171875,1828.9000244140625,1808.986572265625,1808.986572265625,1818.5831298828125,1828.4161376953125,1838.818115234375,1849.35009765625,1849.35009765625
2023-03-02,2023-03-01,1833.5,1837.699951171875,1816.7105712890625,1816.7105712890625,1826.3963623046875,1836.1702880859375,1846.68701171875,1857.803466796875,1857.803466796875
2023-03-03,2023-03-02,1847.699951171875,1833.5,1813.3306884765625,1813.3306884765625,1822.85498046875,1832.6251220703125,1843.221435546875,1854.237548828125,1854.237548828125
2023-03-06,2023-03-03,1847.9000244140625,1847.699951171875,1828.453125,1828.453125,1837.9486083984375,1847.5506591796875,1858.0845947265625,1869.24365234375,1869.24365234375
2023-03-07,2023-03-06,1813.9000244140625,1847.9000244140625,1830.3260498046875,1830.3260498046875,1839.6788330078125,1848.5701904296875,1858.1353759765625,1868.3751220703125,1868.3751220703125
2023-03-08,2023-03-07,1812.699951171875,1813.9000244140625,1793.8555908203125,1793.8555908203125,1804.152587890625,1814.230224609375,1824.8564453125,1835.8922119140625,1835.8922119140625
2023-03-09,2023-03-08,1829.300048828125,1812.699951171875,1796.4466552734375,1796.4466552734375,1806.923828125,1817.3902587890625,1828.197265625,1839.03466796875,1839.03466796875
2023-03-10,2023-03-09,1862.0,1829.300048828125,1805.6402587890625,1805.6402587890625,1816.69091796875,1827.5068359375,1838.6119384765625,1849.8909912109375,1849.8909912109375
2023-03-13,2023-03-10,1911.699951171875,1862.0,1837.4820556640625,1837.4820556640625,1848.8028564453125,1859.9005126953125,1871.1102294921875,1882.70703125,1882.70703125
2023-03-14,2023-03-13,1906.199951171875,1911.699951171875,1888.27197265625,1888.27197265625,1901.90576171875,1915.972412109375,1930.398193359375,1945.9508056640625,1945.9508056640625
2023-03-15,2023-03-14,1926.5999755859373,1906.199951171875,1885.6026611328125,1885.6026611328125,1897.19140625,1908.896484375,1920.925048828125,1933.4156494140625,1933.4156494140625
2023-03-16,2023-03-15,1919.0,1926.5999755859373,1908.6343994140625,1908.6343994140625,1919.9383544921875,1931.025146484375,1942.458984375,1954.5439453125,1954.5439453125
2023-03-17,2023-03-16,1969.800048828125,1919.0,1900.9071044921875,1900.9071044921875,1912.6650390625,1924.0426025390625,1935.4013671875,1947.105712890625,1947.105712890625
2023-03-20,2023-03-17,1979.199951171875,1969.800048828125,1939.076904296875,1939.076904296875,1954.45849609375,1970.229736328125,1986.60009765625,2004.7406005859375,2004.7406005859375
2023-03-21,2023-03-20,1938.0,1979.199951171875,1955.3597412109375,1955.3597412109375,1968.85107421875,1982.2506103515625,1995.876953125,2010.83056640625,2010.83056640625
2023-03-22,2023-03-21,1946.800048828125,1938.0,1911.154296875,1911.154296875,1922.1923828125,1933.70263671875,1945.60205078125,1957.9976806640625,1957.9976806640625
2023-03-23,2023-03-22,1993.800048828125,1946.800048828125,1921.2264404296875,1921.2264404296875,1932.084228515625,1943.1470947265625,1954.67431640625,1966.8038330078125,1966.8038330078125
2023-03-24,2023-03-23,1982.0999755859373,1993.800048828125,1960.8675537109375,1960.8675537109375,1974.9420166015625,1989.5167236328125,2004.6636962890625,2021.3526611328125,2021.3526611328125
2023-03-27,2023-03-24,1952.4000244140625,1982.0999755859373,1952.3974609375,1952.3974609375,1964.612060546875,1977.2059326171875,1989.9931640625,2003.4029541015625,2003.4029541015625
2023-03-28,2023-03-27,1972.4000244140625,1952.4000244140625,1926.1805419921875,1926.1805419921875,1938.3251953125,1951.12353515625,1964.4912109375,1977.960693359375,1977.960693359375
2023-03-29,2023-03-28,1966.0999755859373,1972.4000244140625,1947.5213623046875,1947.5213623046875,1959.4033203125,1971.625244140625,1984.5098876953125,1997.4351806640625,1997.4351806640625
2023-03-30,2023-03-29,1980.300048828125,1966.0999755859373,1943.927490234375,1943.927490234375,1955.572998046875,1967.489990234375,1979.54443359375,1991.191162109375,1991.191162109375
2023-03-31,2023-03-30,1969.0,1980.300048828125,1956.2366943359375,1956.2366943359375,1967.8642578125,1979.9991455078125,1991.96630859375,2003.364990234375,2003.364990234375
2023-04-03,2023-03-31,1983.9000244140625,1969.0,1944.121337890625,1944.121337890625,1955.494140625,1967.292236328125,1979.0723876953125,1990.2470703125,1990.2470703125
2023-04-04,2023-04-03,2022.199951171875,1983.9000244140625,1959.184326171875,1959.184326171875,1970.322998046875,1981.8826904296875,1993.70361328125,2005.0064697265625,2005.0064697265625
2023-04-05,2023-04-04,2020.9000244140625,2022.199951171875,1989.6812744140625,1989.6812744140625,2002.973876953125,2016.9598388671875,2030.9200439453125,2044.5416259765625,2044.5416259765625
2023-04-06,2023-04-05,2011.9000244140625,2020.9000244140625,1995.5029296875,1995.5029296875,2008.4747314453125,2022.1832275390625,2035.7939453125,2048.889404296875,2048.889404296875
