model,series,h,sample,n,exceedances,exceedance_rate,expected,ci_lo,ci_hi,kupiec_p
moirai2_small,copper_fut,1,overlapping,2805,130,0.0463,0.05,0.0391,0.0547,0.3689
moirai2_small,copper_fut,1,non_overlapping,2805,130,0.0463,0.05,0.0391,0.0547,0.3689
moirai2_small,copper_fut,5,overlapping,2805,137,0.0488,0.05,0.0414,0.0574,0.7775
moirai2_small,copper_fut,5,non_overlapping,561,25,0.0446,0.05,0.0304,0.065,0.5475
moirai2_small,copper_fut,22,overlapping,2805,207,0.0738,0.05,0.0647,0.0841,0.0
moirai2_small,copper_fut,22,non_overlapping,128,8,0.0625,0.05,0.032,0.1185,0.5315
moirai2_small,platinum_fut,1,overlapping,2803,103,0.0367,0.05,0.0303,0.0443,0.0007
moirai2_small,platinum_fut,1,non_overlapping,2803,103,0.0367,0.05,0.0303,0.0443,0.0007
moirai2_small,platinum_fut,5,overlapping,2803,131,0.0467,0.05,0.0395,0.0552,0.4229
moirai2_small,platinum_fut,5,non_overlapping,561,23,0.041,0.05,0.0275,0.0608,0.3132
moirai2_small,platinum_fut,22,overlapping,2803,141,0.0503,0.05,0.0428,0.059,0.9413
moirai2_small,platinum_fut,22,non_overlapping,128,4,0.0312,0.05,0.0122,0.0775,0.2971
moirai2_small,corn_fut,1,overlapping,2802,122,0.0435,0.05,0.0366,0.0517,0.109
moirai2_small,corn_fut,1,non_overlapping,2802,122,0.0435,0.05,0.0366,0.0517,0.109
moirai2_small,corn_fut,5,overlapping,2802,151,0.0539,0.05,0.0461,0.0629,0.3505
moirai2_small,corn_fut,5,non_overlapping,561,27,0.0481,0.05,0.0333,0.0691,0.8379
moirai2_small,corn_fut,22,overlapping,2802,207,0.0739,0.05,0.0648,0.0842,0.0
moirai2_small,corn_fut,22,non_overlapping,128,10,0.0781,0.05,0.043,0.1378,0.1757
moirai2_small,wheat_fut,1,overlapping,2804,94,0.0335,0.05,0.0275,0.0408,0.0
moirai2_small,wheat_fut,1,non_overlapping,2804,94,0.0335,0.05,0.0275,0.0408,0.0
moirai2_small,wheat_fut,5,overlapping,2804,120,0.0428,0.05,0.0359,0.0509,0.073
moirai2_small,wheat_fut,5,non_overlapping,561,23,0.041,0.05,0.0275,0.0608,0.3132
moirai2_small,wheat_fut,22,overlapping,2804,121,0.0432,0.05,0.0363,0.0514,0.0888
moirai2_small,wheat_fut,22,non_overlapping,128,4,0.0312,0.05,0.0122,0.0775,0.2971
moirai2_small,soybean_fut,1,overlapping,2804,114,0.0407,0.05,0.034,0.0487,0.0191
moirai2_small,soybean_fut,1,non_overlapping,2804,114,0.0407,0.05,0.034,0.0487,0.0191
moirai2_small,soybean_fut,5,overlapping,2804,127,0.0453,0.05,0.0382,0.0536,0.2454
moirai2_small,soybean_fut,5,non_overlapping,561,22,0.0392,0.05,0.026,0.0586,0.224
moirai2_small,soybean_fut,22,overlapping,2804,153,0.0546,0.05,0.0468,0.0636,0.2741
moirai2_small,soybean_fut,22,non_overlapping,128,6,0.0469,0.05,0.0217,0.0985,0.8698
